activity,case_id,resource,Activity_1,Resource_1,creator,variant,variant_index,end_time,start_time
Radicar Solicitud Homologacion,123961,12175,Radicar Solicitud Homologacion,12175,Fluxicon Disco,Variant 1,1,2016-06-03T15:52:20.000,2016-06-03T15:28:22.000
Cancelar Solicitud,123961,22475,Cancelar Solicitud,22475,Fluxicon Disco,Variant 1,1,2016-06-09T15:27:24.000,2016-06-09T15:27:17.000
Notificacion estudiante cancelacion soli,123961,22475,Notificacion estudiante cancelacion soli,22475,Fluxicon Disco,Variant 1,1,2016-06-09T15:35:14.000,2016-06-09T15:35:14.000
Traer informacion estudiante - banner,123962,12175,Traer informacion estudiante - banner,12175,Fluxicon Disco,Variant 1,1,2016-06-03T15:30:51.000,2016-06-03T15:30:51.000
Radicar Solicitud Homologacion,123962,12175,Radicar Solicitud Homologacion,12175,Fluxicon Disco,Variant 1,1,2016-06-03T15:55:05.000,2016-06-03T15:30:52.000
Cancelar Solicitud,123962,12175,Cancelar Solicitud,12175,Fluxicon Disco,Variant 1,1,2016-06-09T15:44:54.000,2016-06-09T15:44:42.000
Notificacion estudiante cancelacion soli,123962,12175,Notificacion estudiante cancelacion soli,12175,Fluxicon Disco,Variant 1,1,2016-06-09T15:56:54.000,2016-06-09T15:56:54.000
Traer informacion estudiante - banner,123963,12175,Traer informacion estudiante - banner,12175,Fluxicon Disco,Variant 1,1,2016-06-03T15:46:19.000,2016-06-03T15:46:19.000
Radicar Solicitud Homologacion,123963,12175,Radicar Solicitud Homologacion,12175,Fluxicon Disco,Variant 1,1,2016-06-03T16:14:24.000,2016-06-03T15:46:20.000
Cancelar Solicitud,123963,12175,Cancelar Solicitud,12175,Fluxicon Disco,Variant 1,1,2016-06-09T21:51:18.000,2016-06-09T21:51:16.000
Notificacion estudiante cancelacion soli,123963,12175,Notificacion estudiante cancelacion soli,12175,Fluxicon Disco,Variant 1,1,2016-06-09T21:53:24.000,2016-06-09T21:53:24.000
Traer informacion estudiante - banner,123964,11653,Traer informacion estudiante - banner,11653,Fluxicon Disco,Variant 2,2,2016-06-03T17:12:55.000,2016-06-03T17:12:55.000
