CaseId,Activity,enabled_time,StartTime,EndTime,Resource
0,Check application form completeness,2025-02-17 09:00:00.646000+02:00,2025-02-17 09:00:00.646000+02:00,2025-02-17 09:32:54.475766+02:00,Clerk_0
1,Check application form completeness,2025-02-17 09:15:00.646000+02:00,2025-02-17 09:15:00.646000+02:00,2025-02-17 09:45:31.551326+02:00,Clerk_1
2,Check application form completeness,2025-02-17 09:30:00.646000+02:00,2025-02-17 09:30:00.646000+02:00,2025-02-17 10:01:12.184612+02:00,Clerk_2
0,Return application back to applicant,2025-02-17 09:32:54.475766+02:00,2025-02-17 09:32:54.475766+02:00,2025-02-17 10:03:08.846105+02:00,Clerk_3
3,Check application form completeness,2025-02-17 09:45:00.646000+02:00,2025-02-17 09:45:00.646000+02:00,2025-02-17 10:15:24.904158+02:00,Clerk_4
1,Check credit history,2025-02-17 09:45:31.551326+02:00,2025-02-17 09:45:31.551326+02:00,2025-02-17 10:21:00.034119+02:00,Clerk_5
1,AML Check,2025-02-17 09:45:31.551326+02:00,2025-02-17 09:45:31.551326+02:00,2025-02-17 10:16:49.484602+02:00,AML Investigator_0
1,Appraise property,2025-02-17 09:45:31.551326+02:00,2025-02-17 09:45:31.551326+02:00,2025-02-17 10:16:58.166186+02:00,Appraiser_0
4,Check application form completeness,2025-02-17 10:00:00.646000+02:00,2025-02-17 10:00:00.646000+02:00,2025-02-17 10:31:52.516770+02:00,Clerk_6
2,Check credit history,2025-02-17 10:01:12.184612+02:00,2025-02-17 10:01:12.184612+02:00,2025-02-17 10:34:15.390573+02:00,Clerk_7
2,AML Check,2025-02-17 10:01:12.184612+02:00,2025-02-17 10:01:12.184612+02:00,2025-02-17 10:33:48.021059+02:00,AML Investigator_1
2,Appraise property,2025-02-17 10:01:12.184612+02:00,2025-02-17 10:01:12.184612+02:00,2025-02-17 10:32:11.537281+02:00,Appraiser_1
0,Applicant completes form,2025-02-17 10:03:08.846105+02:00,2025-02-17 10:03:08.846105+02:00,2025-02-18 10:04:08.846105+02:00,Applicant_0
5,Check application form completeness,2025-02-17 10:15:00.646000+02:00,2025-02-17 10:15:00.646000+02:00,2025-02-17 10:45:27.482139+02:00,Clerk_8
3,Appraise property,2025-02-17 10:15:24.904158+02:00,2025-02-17 10:16:58.166186+02:00,2025-02-17 10:47:32.588435+02:00,Appraiser_0
3,Check credit history,2025-02-17 10:15:24.904158+02:00,2025-02-17 10:15:24.904158+02:00,2025-02-17 10:48:17.526827+02:00,Clerk_0
3,AML Check,2025-02-17 10:15:24.904158+02:00,2025-02-17 10:15:24.904158+02:00,2025-02-17 10:45:26.234418+02:00,AML Investigator_2
1,Assess loan risk,2025-02-17 10:21:00.034119+02:00,2025-02-17 10:21:00.034119+02:00,2025-02-17 10:54:39.313641+02:00,Loan Officer_0
6,Check application form completeness,2025-02-17 10:30:00.646000+02:00,2025-02-17 10:30:00.646000+02:00,2025-02-17 11:01:28.762920+02:00,Clerk_1
4,Check credit history,2025-02-17 10:31:52.516770+02:00,2025-02-17 10:31:52.516770+02:00,2025-02-17 11:02:39.894295+02:00,Clerk_2
4,Appraise property,2025-02-17 10:31:52.516770+02:00,2025-02-17 10:32:11.537281+02:00,2025-02-17 11:03:43.704121+02:00,Appraiser_1
4,AML Check,2025-02-17 10:31:52.516770+02:00,2025-02-17 10:31:52.516770+02:00,2025-02-17 11:03:03.497352+02:00,AML Investigator_3
2,Assess loan risk,2025-02-17 10:34:15.390573+02:00,2025-02-17 10:34:15.390573+02:00,2025-02-17 11:10:05.733153+02:00,Loan Officer_1
7,Check application form completeness,2025-02-17 10:45:00.646000+02:00,2025-02-17 10:45:00.646000+02:00,2025-02-17 11:15:32.909117+02:00,Clerk_3
5,Check credit history,2025-02-17 10:45:27.482139+02:00,2025-02-17 10:45:27.482139+02:00,2025-02-17 11:16:12.351836+02:00,Clerk_4
5,Appraise property,2025-02-17 10:45:27.482139+02:00,2025-02-17 10:47:32.588435+02:00,2025-02-17 11:17:43.504988+02:00,Appraiser_0
5,AML Check,2025-02-17 10:45:27.482139+02:00,2025-02-17 10:45:27.482139+02:00,2025-02-17 11:15:38.176259+02:00,AML Investigator_0
3,Assess loan risk,2025-02-17 10:48:17.526827+02:00,2025-02-17 10:48:17.526827+02:00,2025-02-17 11:20:02.570978+02:00,Loan Officer_2
1,Design loan offer,2025-02-17 10:54:39.313641+02:00,2025-02-17 10:54:39.313641+02:00,2025-02-17 11:24:43.492017+02:00,Loan Officer_3
8,Check application form completeness,2025-02-17 11:00:00.646000+02:00,2025-02-17 11:00:00.646000+02:00,2025-02-17 11:30:29.749020+02:00,Clerk_5
6,Return application back to applicant,2025-02-17 11:01:28.762920+02:00,2025-02-17 11:01:28.762920+02:00,2025-02-17 11:35:18.117114+02:00,Clerk_6
4,Assess loan risk,2025-02-17 11:03:43.704121+02:00,2025-02-17 11:03:43.704121+02:00,2025-02-17 11:34:12.013199+02:00,Loan Officer_4
2,Reject application,2025-02-17 11:10:05.733153+02:00,2025-02-17 11:10:05.733153+02:00,2025-02-17 11:40:13.476046+02:00,Clerk_7
9,Check application form completeness,2025-02-17 11:15:00.646000+02:00,2025-02-17 11:15:00.646000+02:00,2025-02-17 11:45:55.108360+02:00,Clerk_8
7,AML Check,2025-02-17 11:15:32.909117+02:00,2025-02-17 11:15:32.909117+02:00,2025-02-17 11:52:35.942349+02:00,AML Investigator_1
7,Appraise property,2025-02-17 11:15:32.909117+02:00,2025-02-17 11:15:32.909117+02:00,2025-02-17 11:47:25.438747+02:00,Appraiser_1
7,Check credit history,2025-02-17 11:15:32.909117+02:00,2025-02-17 11:15:32.909117+02:00,2025-02-17 11:46:20.077205+02:00,Clerk_0
5,Assess loan risk,2025-02-17 11:17:43.504988+02:00,2025-02-17 11:17:43.504988+02:00,2025-02-17 11:48:15.988587+02:00,Loan Officer_5
3,Reject application,2025-02-17 11:20:02.570978+02:00,2025-02-17 11:20:02.570978+02:00,2025-02-17 11:51:50.672912+02:00,Clerk_1
1,Approve Loan Offer,2025-02-17 11:24:43.492017+02:00,2025-02-17 11:24:43.492017+02:00,2025-02-17 11:56:28.700049+02:00,Senior Officer_0
10,Check application form completeness,2025-02-17 11:30:00.646000+02:00,2025-02-17 11:30:00.646000+02:00,2025-02-17 12:01:47.599984+02:00,Clerk_2
8,Appraise property,2025-02-17 11:30:29.749020+02:00,2025-02-17 11:30:29.749020+02:00,2025-02-17 12:00:38.402812+02:00,Appraiser_0
8,Check credit history,2025-02-17 11:30:29.749020+02:00,2025-02-17 11:30:29.749020+02:00,2025-02-17 12:01:41.081486+02:00,Clerk_3
8,AML Check,2025-02-17 11:30:29.749020+02:00,2025-02-17 11:30:29.749020+02:00,2025-02-17 12:00:34.372168+02:00,AML Investigator_2
4,Reject application,2025-02-17 11:34:12.013199+02:00,2025-02-17 11:34:12.013199+02:00,2025-02-17 12:04:28.407792+02:00,Clerk_4
6,Applicant completes form,2025-02-17 11:35:18.117114+02:00,2025-02-17 11:35:18.117114+02:00,2025-02-18 11:36:18.117114+02:00,Applicant_1
11,Check application form completeness,2025-02-17 11:45:00.646000+02:00,2025-02-17 11:45:00.646000+02:00,2025-02-17 12:15:07.482120+02:00,Clerk_5
9,Check credit history,2025-02-17 11:45:55.108360+02:00,2025-02-17 11:45:55.108360+02:00,2025-02-17 12:19:31.843777+02:00,Clerk_6
9,AML Check,2025-02-17 11:45:55.108360+02:00,2025-02-17 11:45:55.108360+02:00,2025-02-17 12:15:59.956472+02:00,AML Investigator_3
9,Appraise property,2025-02-17 11:45:55.108360+02:00,2025-02-17 11:47:25.438747+02:00,2025-02-17 12:21:00.973064+02:00,Appraiser_1
5,Reject application,2025-02-17 11:48:15.988587+02:00,2025-02-17 11:48:15.988587+02:00,2025-02-17 12:18:52.962578+02:00,Clerk_7
7,Assess loan risk,2025-02-17 11:52:35.942349+02:00,2025-02-17 11:52:35.942349+02:00,2025-02-17 12:23:48.139589+02:00,Loan Officer_6
1,Prepare acceptance pack,2025-02-17 11:56:28.700049+02:00,2025-02-17 11:56:28.700049+02:00,2025-02-17 12:28:24.742229+02:00,Loan Officer_7
