case_id,resource,role,activity,FixedCost,ResourceCost,start_time,end_time,enable_time
1,Clerk-000001,Clerk,Check application form completeness,0.0,0.38,2025-01-01T07:00:00.762,2025-01-01T07:22:41.522,2025-01-01T07:00:00.762
2,Clerk-000002,Clerk,Check application form completeness,0.0,0.52,2025-01-01T07:19:10.723,2025-01-01T07:50:10.888,2025-01-01T07:19:10.723
1,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2025-01-01T07:22:41.522,2025-01-01T07:55:02.590,2025-01-01T07:22:41.522
1,AML Investigator-000001,AML Investigator,AML Check,0.0,0.0,2025-01-01T07:22:41.522,2025-01-01T08:00:54.765,2025-01-01T07:22:41.522
1,Clerk-000003,Clerk,Check credit history,0.0,0.68,2025-01-01T07:22:41.522,2025-01-01T08:03:35.114,2025-01-01T07:22:41.522
3,Clerk-000004,Clerk,Check application form completeness,0.0,0.51,2025-01-01T07:38:02.562,2025-01-01T08:08:51.478,2025-01-01T07:38:02.562
2,AML Investigator-000002,AML Investigator,AML Check,0.0,0.0,2025-01-01T07:50:10.888,2025-01-01T08:11:54.412,2025-01-01T07:50:10.888
2,Clerk-000005,Clerk,Check credit history,0.0,0.57,2025-01-01T07:50:10.888,2025-01-01T08:24:29.105,2025-01-01T07:50:10.888
5,Clerk-000007,Clerk,Check application form completeness,0.0,0.36,2025-01-01T08:06:02.833,2025-01-01T08:27:33.874,2025-01-01T08:06:02.833
2,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2025-01-01T07:50:10.888,2025-01-01T08:29:37.449,2025-01-01T07:50:10.888
4,Clerk-000006,Clerk,Check application form completeness,0.0,0.59,2025-01-01T07:58:30.509,2025-01-01T08:34:10.768,2025-01-01T07:58:30.509
6,Clerk-000009,Clerk,Check application form completeness,0.0,0.39,2025-01-01T08:11:16.010,2025-01-01T08:34:43.564,2025-01-01T08:11:16.010
3,AML Investigator-000001,AML Investigator,AML Check,0.0,0.0,2025-01-01T08:08:51.478,2025-01-01T08:41:24.276,2025-01-01T08:08:51.478
1,Loan Officer-000001,Loan Officer,Assess loan risk,0.0,0.0,2025-01-01T08:03:35.114,2025-01-01T08:41:55.420,2025-01-01T08:03:35.114
7,Clerk-000001,Clerk,Check application form completeness,0.0,0.44,2025-01-01T08:20:20.643,2025-01-01T08:46:36.043,2025-01-01T08:20:20.643
5,Clerk-000002,Clerk,Check credit history,0.0,0.33,2025-01-01T08:27:33.874,2025-01-01T08:47:32.830,2025-01-01T08:27:33.874
3,Clerk-000008,Clerk,Check credit history,0.0,0.75,2025-01-01T08:08:51.478,2025-01-01T08:53:38.414,2025-01-01T08:08:51.478
3,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2025-01-01T08:08:51.478,2025-01-01T08:53:59.162,2025-01-01T08:08:51.478
5,AML Investigator-000002,AML Investigator,AML Check,0.0,0.0,2025-01-01T08:27:33.874,2025-01-01T08:59:26.969,2025-01-01T08:27:33.874
5,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2025-01-01T08:29:37.449,2025-01-01T09:01:56.031,2025-01-01T08:27:33.874
4,Clerk-000003,Clerk,Check credit history,0.0,0.54,2025-01-01T08:34:10.768,2025-01-01T09:06:21.988,2025-01-01T08:34:10.768
2,Loan Officer-000002,Loan Officer,Assess loan risk,0.0,0.0,2025-01-01T08:29:37.449,2025-01-01T09:06:38.401,2025-01-01T08:29:37.449
6,Clerk-000004,Clerk,Check credit history,0.0,0.69,2025-01-01T08:34:43.564,2025-01-01T09:15:49.811,2025-01-01T08:34:43.564
8,Clerk-000005,Clerk,Check application form completeness,0.0,0.62,2025-01-01T08:39:07.947,2025-01-01T09:16:04.178,2025-01-01T08:39:07.947
6,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2025-01-01T09:01:56.031,2025-01-01T09:18:56.273,2025-01-01T08:34:43.564
1,Clerk-000007,Clerk,Reject application,0.0,0.69,2025-01-01T08:41:55.420,2025-01-01T09:23:04.438,2025-01-01T08:41:55.420
5,Loan Officer-000004,Loan Officer,Assess loan risk,0.0,0.0,2025-01-01T09:01:56.031,2025-01-01T09:26:30.234,2025-01-01T09:01:56.031
7,Clerk-000006,Clerk,Check credit history,0.0,0.67,2025-01-01T08:46:36.043,2025-01-01T09:26:30.409,2025-01-01T08:46:36.043
4,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2025-01-01T08:53:59.162,2025-01-01T09:28:52.183,2025-01-01T08:34:10.768
9,Clerk-000009,Clerk,Check application form completeness,0.0,0.47,2025-01-01T09:01:46.238,2025-01-01T09:29:53.907,2025-01-01T09:01:46.238
7,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2025-01-01T09:18:56.273,2025-01-01T09:30:14.642,2025-01-01T08:46:36.043
4,AML Investigator-000001,AML Investigator,AML Check,0.0,0.0,2025-01-01T08:41:24.276,2025-01-01T09:30:16.941,2025-01-01T08:34:10.768
2,Clerk-000001,Clerk,Reject application,0.0,0.59,2025-01-01T09:06:38.401,2025-01-01T09:42:02.456,2025-01-01T09:06:38.401
10,Clerk-000002,Clerk,Check application form completeness,0.0,0.49,2025-01-01T09:15:02.450,2025-01-01T09:44:39.863,2025-01-01T09:15:02.450
8,Clerk-000008,Clerk,Check credit history,0.0,0.49,2025-01-01T09:16:04.178,2025-01-01T09:45:13.426,2025-01-01T09:16:04.178
8,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2025-01-01T09:28:52.183,2025-01-01T09:46:07.621,2025-01-01T09:16:04.178
6,AML Investigator-000002,AML Investigator,AML Check,0.0,0.0,2025-01-01T08:59:26.969,2025-01-01T09:47:37.032,2025-01-01T08:34:43.564
3,Loan Officer-000003,Loan Officer,Assess loan risk,0.0,0.0,2025-01-01T08:53:59.162,2025-01-01T09:50:28.627,2025-01-01T08:53:59.162
