case_id,resource,role,activity,FixedCost,ResourceCost,start_time,end_time,enable_time
1,Clerk-000001,Clerk,Check application form completeness,0.0,0.44,2025-01-01T07:00:00.762,2025-01-01T07:26:41.965,2025-01-01T07:00:00.762
2,Clerk-000002,Clerk,Check application form completeness,0.0,0.45,2025-01-01T07:16:37.408,2025-01-01T07:43:53.644,2025-01-01T07:16:37.408
1,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2025-01-01T07:26:41.965,2025-01-01T07:54:19.663,2025-01-01T07:26:41.965
1,Clerk-000003,Clerk,Check credit history,0.0,0.48,2025-01-01T07:26:41.965,2025-01-01T07:55:18.726,2025-01-01T07:26:41.965
1,AML Investigator-000001,AML Investigator,AML Check,0.0,0.0,2025-01-01T07:26:41.965,2025-01-01T07:56:11.914,2025-01-01T07:26:41.965
3,Clerk-000004,Clerk,Check application form completeness,0.0,0.46,2025-01-01T07:34:08.213,2025-01-01T08:01:49.045,2025-01-01T07:34:08.213
2,AML Investigator-000002,AML Investigator,AML Check,0.0,0.0,2025-01-01T07:43:53.644,2025-01-01T08:09:54.731,2025-01-01T07:43:53.644
2,Clerk-000005,Clerk,Check credit history,0.0,0.44,2025-01-01T07:43:53.644,2025-01-01T08:10:28.413,2025-01-01T07:43:53.644
2,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2025-01-01T07:43:53.644,2025-01-01T08:12:22.104,2025-01-01T07:43:53.644
4,Clerk-000006,Clerk,Check application form completeness,0.0,0.58,2025-01-01T07:49:47.268,2025-01-01T08:24:32.700,2025-01-01T07:49:47.268
3,Clerk-000007,Clerk,Check credit history,0.0,0.45,2025-01-01T08:01:49.045,2025-01-01T08:28:51.628,2025-01-01T08:01:49.045
3,AML Investigator-000001,AML Investigator,AML Check,0.0,0.0,2025-01-01T08:01:49.045,2025-01-01T08:34:07.559,2025-01-01T08:01:49.045
3,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2025-01-01T08:01:49.045,2025-01-01T08:35:46.964,2025-01-01T08:01:49.045
