case_id,resource,role,activity,FixedCost,ResourceCost,start_time,end_time,enable_time
1,Clerk-000001,Clerk,Check application form completeness,0.0,0.37,2025-01-01T07:00:00.762,2025-01-01T07:22:16.390,2025-01-01T07:00:00.762
2,Clerk-000002,Clerk,Check application form completeness,0.0,0.56,2025-01-01T07:11:44.260,2025-01-01T07:45:34.909,2025-01-01T07:11:44.260
3,Clerk-000004,Clerk,Check application form completeness,0.0,0.49,2025-01-01T07:22:38.978,2025-01-01T07:51:51.413,2025-01-01T07:22:38.978
1,Clerk-000003,Clerk,Check credit history,0.0,0.51,2025-01-01T07:22:16.390,2025-01-01T07:52:38.971,2025-01-01T07:22:16.390
1,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2025-01-01T07:22:16.390,2025-01-01T07:59:19.728,2025-01-01T07:22:16.390
2,AML Investigator-000002,AML Investigator,AML Check,0.0,0.0,2025-01-01T07:45:34.909,2025-01-01T08:03:39.274,2025-01-01T07:45:34.909
2,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2025-01-01T07:45:34.909,2025-01-01T08:04:08.660,2025-01-01T07:45:34.909
4,Clerk-000005,Clerk,Check application form completeness,0.0,0.46,2025-01-01T07:38:02.897,2025-01-01T08:05:49.866,2025-01-01T07:38:02.897
1,AML Investigator-000001,AML Investigator,AML Check,0.0,0.0,2025-01-01T07:22:16.390,2025-01-01T08:08:06.268,2025-01-01T07:22:16.390
5,Clerk-000006,Clerk,Check application form completeness,0.0,0.51,2025-01-01T07:42:20.305,2025-01-01T08:12:46.279,2025-01-01T07:42:20.305
3,Clerk-000009,Clerk,Check credit history,0.0,0.36,2025-01-01T07:51:51.413,2025-01-01T08:13:26.607,2025-01-01T07:51:51.413
2,Clerk-000007,Clerk,Check credit history,0.0,0.57,2025-01-01T07:45:34.909,2025-01-01T08:19:50.247,2025-01-01T07:45:34.909
6,Clerk-000008,Clerk,Check application form completeness,0.0,0.57,2025-01-01T07:50:55.405,2025-01-01T08:25:22.162,2025-01-01T07:50:55.405
5,Clerk-000004,Clerk,Check credit history,0.0,0.22,2025-01-01T08:12:46.279,2025-01-01T08:26:00.611,2025-01-01T08:12:46.279
8,Clerk-000003,Clerk,Check application form completeness,0.0,0.31,2025-01-01T08:14:11.970,2025-01-01T08:32:55.896,2025-01-01T08:14:11.970
3,AML Investigator-000002,AML Investigator,AML Check,0.0,0.0,2025-01-01T08:03:39.274,2025-01-01T08:35:30.011,2025-01-01T07:51:51.413
4,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2025-01-01T08:05:49.866,2025-01-01T08:36:59.969,2025-01-01T08:05:49.866
7,Clerk-000002,Clerk,Check application form completeness,0.0,0.53,2025-01-01T08:06:10.184,2025-01-01T08:37:56.193,2025-01-01T08:06:10.184
3,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2025-01-01T07:59:19.728,2025-01-01T08:38:39.983,2025-01-01T07:51:51.413
4,Clerk-000001,Clerk,Check credit history,0.0,0.67,2025-01-01T08:05:49.866,2025-01-01T08:45:49.743,2025-01-01T08:05:49.866
5,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2025-01-01T08:36:59.969,2025-01-01T08:52:23.758,2025-01-01T08:12:46.279
1,Loan Officer-000001,Loan Officer,Assess loan risk,0.0,0.0,2025-01-01T08:08:06.268,2025-01-01T08:59:49.607,2025-01-01T08:08:06.268
6,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2025-01-01T08:38:39.983,2025-01-01T09:00:20.794,2025-01-01T08:25:22.162
8,Clerk-000006,Clerk,Check credit history,0.0,0.48,2025-01-01T08:32:55.896,2025-01-01T09:01:40.903,2025-01-01T08:32:55.896
4,AML Investigator-000001,AML Investigator,AML Check,0.0,0.0,2025-01-01T08:08:06.268,2025-01-01T09:02:16.145,2025-01-01T08:05:49.866
