case_id,activity,start_time,end_time,resource
9,Notificacion estudiante cancelacion soli,2016-05-06 15:32:31+00:00,2016-05-06 15:32:31+00:00,6723
10,Notificacion estudiante cancelacion soli,2016-05-06 15:32:59+00:00,2016-05-06 15:32:59+00:00,6723
15,Validar solicitud / pre-homologacion,2016-05-11 17:22:19+00:00,2016-05-11 17:22:19+00:00,22404
19,Validacion final,2016-05-17 15:37:28+00:00,2016-05-17 15:37:28+00:00,677
19,Visto Bueno Cierre Proceso,2016-05-17 15:38:24+00:00,2016-05-17 15:46:54+00:00,3445
19,Transferir Creditos,2016-05-18 16:09:06+00:00,2016-05-18 16:09:06+00:00,3445
19,Transferir creditos homologables,2016-05-18 16:09:07+00:00,2016-05-18 16:09:07+00:00,3445
19,Transferir creditos homologables,2016-05-18 16:09:07+00:00,2016-05-18 16:09:07+00:00,3445
19,Transferir creditos homologables,2016-05-18 16:09:07+00:00,2016-05-18 16:09:07+00:00,3445
21,Evaluacion curso,2016-05-02 13:58:46+00:00,2016-05-02 17:02:16+00:00,1707
21,Validacion final,2016-06-07 13:28:49+00:00,2016-06-07 13:28:50+00:00,1707
21,Visto Bueno Cierre Proceso,2016-06-07 13:29:54+00:00,2016-06-07 13:45:24+00:00,15930
22,Validar solicitud,2016-06-13 17:02:18+00:00,2016-06-13 17:02:18+00:00,29277
22,Homologacion por grupo de cursos,2016-06-13 17:03:50+00:00,2016-06-13 17:27:50+00:00,1007
26,Validar solicitud,2016-05-04 18:55:29+00:00,2016-05-04 19:23:36+00:00,448
26,Homologacion por grupo de cursos,2016-05-11 13:07:05+00:00,2016-05-11 15:06:08+00:00,7177
28,Homologacion por grupo de cursos,2016-05-03 19:59:47+00:00,2016-05-04 00:12:37+00:00,308
34,Evaluacion curso,2016-05-02 13:58:57+00:00,2016-05-02 14:37:58+00:00,15930
34,Validacion final,2016-05-09 23:03:07+00:00,2016-05-09 23:19:52+00:00,1707
35,Validacion final,2016-06-02 15:01:25+00:00,2016-06-02 15:03:37+00:00,18929
35,Visto Bueno Cierre Proceso,2016-06-02 19:14:06+00:00,2016-06-02 19:14:18+00:00,957
36,Evaluacion curso,2016-05-02 13:59:10+00:00,2016-05-02 14:38:10+00:00,15930
