case_id,activity,start_time,end_time,resource
398,Traer informacion estudiante - banner,2016-05-12 12:20:12.282255+00:00,2016-05-12 12:20:12.282255+00:00,6004
398,Radicar Solicitud Homologacion,2016-05-12 12:20:15.282255+00:00,2016-05-12 12:20:15.282255+00:00,8824
398,Validar solicitud,2016-05-12 12:20:16.265834+00:00,2016-05-12 12:20:16.265834+00:00,10923
398,Revisar curso,2016-05-12 12:57:48.341313+00:00,2016-05-12 12:57:48.341313+00:00,1314
399,Traer informacion estudiante - banner,2016-05-12 14:01:44.690070+00:00,2016-05-12 14:01:44.690070+00:00,10183
399,Radicar Solicitud Homologacion,2016-05-12 14:01:47.690070+00:00,2016-05-12 16:00:01.930603+00:00,10296
398,Homologacion por grupo de cursos,2016-05-12 14:42:40.568726+00:00,2016-05-12 16:44:02.237800+00:00,15930
399,Validar solicitud,2016-05-12 16:00:01.971609+00:00,2016-05-12 16:06:12.565593+00:00,1707
400,Traer informacion estudiante - banner,2016-05-12 17:22:42.975952+00:00,2016-05-12 17:22:42.975952+00:00,10348
400,Radicar Solicitud Homologacion,2016-05-12 17:22:45.975952+00:00,2016-05-12 17:22:45.975952+00:00,10962
401,Validar solicitud,2016-05-12 17:58:39.117937+00:00,2016-05-13 13:19:53.864617+00:00,18929
403,Traer informacion estudiante - banner,2016-05-12 18:09:52.123559+00:00,2016-05-12 18:09:52.123559+00:00,10995
403,Radicar Solicitud Homologacion,2016-05-12 18:09:55.123559+00:00,2016-05-13 13:00:04+00:00,11041
402,Validar solicitud,2016-05-12 18:11:19.322720+00:00,2016-05-13 13:00:04.898791+00:00,22404
404,Traer informacion estudiante - banner,2016-05-12 19:16:49.237444+00:00,2016-05-12 19:16:49.237444+00:00,11174
404,Radicar Solicitud Homologacion,2016-05-12 19:16:52.237444+00:00,2016-05-13 13:34:09+00:00,11181
405,Traer informacion estudiante - banner,2016-05-12 19:59:02.099467+00:00,2016-05-12 19:59:02.099467+00:00,11197
405,Radicar Solicitud Homologacion,2016-05-12 19:59:05.099467+00:00,2016-05-12 19:59:05.099467+00:00,11218
400,Notificacion estudiante cancelacion soli,2016-05-12 21:57:17.604023+00:00,2016-05-12 21:57:17.604023+00:00,12196
405,Cancelar Solicitud,2016-05-12 22:34:39.479155+00:00,2016-05-13 13:00:03+00:00,14128
399,Homologacion por grupo de cursos,2016-05-13 05:24:20.927568+00:00,2016-05-13 13:00:22+00:00,12548
406,Validar solicitud,2016-05-13 08:00:00.012291+00:00,2016-05-13 08:00:00.012291+00:00,2292
408,Traer informacion estudiante - banner,2016-05-13 08:11:15.075274+00:00,2016-05-13 08:11:15.075274+00:00,11327
408,Radicar Solicitud Homologacion,2016-05-13 08:11:18.075274+00:00,2016-05-13 08:11:18.075274+00:00,1134
408,Validar solicitud,2016-05-13 08:40:14.228896+00:00,2016-05-13 13:03:02.317524+00:00,241
409,Traer informacion estudiante - banner,2016-05-13 09:37:36.396230+00:00,2016-05-13 09:37:36.396230+00:00,11349
409,Radicar Solicitud Homologacion,2016-05-13 09:37:39.396230+00:00,2016-05-13 09:37:39.396230+00:00,11353
407,Validar solicitud,2016-05-13 13:31:52.444865+00:00,2016-05-13 13:31:52.444865+00:00,294
404,Cancelar Solicitud,2016-05-13 16:17:08.025504+00:00,2016-05-13 16:17:08.025504+00:00,15884
410,Traer informacion estudiante - banner,2016-05-13 17:05:37.205949+00:00,2016-05-13 17:05:37.205949+00:00,11509
410,Radicar Solicitud Homologacion,2016-05-13 17:05:40.205949+00:00,2016-05-13 17:05:40.205949+00:00,11583
411,Traer informacion estudiante - banner,2016-05-13 17:59:43.562889+00:00,2016-05-13 17:59:43.562889+00:00,11614
411,Radicar Solicitud Homologacion,2016-05-13 17:59:46.562889+00:00,2016-05-13 17:59:46.562889+00:00,11692
411,Cancelar Solicitud,2016-05-13 17:59:46.563421+00:00,2016-05-13 17:59:46.563421+00:00,1995
412,Traer informacion estudiante - banner,2016-05-13 18:01:32.879722+00:00,2016-05-13 18:01:32.879722+00:00,11706
412,Radicar Solicitud Homologacion,2016-05-13 18:01:35.879722+00:00,2016-05-13 18:01:35.879722+00:00,11759
412,Validar solicitud,2016-05-13 18:01:37.174128+00:00,2016-05-13 18:03:02.642953+00:00,387
