case_id,activity,start_time,end_time,resource
2,Traer informacion estudiante - banner,2016-04-17 19:00:00+00:00,2016-04-17 19:00:00+00:00,10348
4,Traer informacion estudiante - banner,2016-04-17 19:00:00+00:00,2016-04-17 19:00:00+00:00,10995
8,Traer informacion estudiante - banner,2016-04-17 19:00:00+00:00,2016-04-17 19:00:00+00:00,11197
9,Traer informacion estudiante - banner,2016-04-17 19:00:00+00:00,2016-04-17 19:00:00+00:00,11218
2,Radicar Solicitud Homologacion,2016-04-17 19:00:03+00:00,2016-04-17 19:00:03+00:00,11353
4,Radicar Solicitud Homologacion,2016-04-17 19:00:03+00:00,2016-04-17 19:00:03+00:00,11583
8,Radicar Solicitud Homologacion,2016-04-17 19:00:03+00:00,2016-04-17 19:00:03+00:00,11759
9,Radicar Solicitud Homologacion,2016-04-17 19:00:03+00:00,2016-04-17 19:00:03+00:00,11760
9,Validar solicitud,2016-04-17 19:00:03+00:00,2016-04-17 19:07:46.050860+00:00,22475
4,Validar solicitud,2016-04-17 19:00:04.457715+00:00,2016-04-17 19:00:04.457715+00:00,10923
2,Validar solicitud,2016-04-17 19:00:44.812111+00:00,2016-04-17 19:03:10.154366+00:00,1707
9,Traer informacion estudiante - banner,2016-04-17 19:08:32.628643+00:00,2016-04-17 19:08:32.628643+00:00,11811
9,Radicar Solicitud Homologacion,2016-04-17 19:08:35.628643+00:00,2016-04-17 19:08:35.628643+00:00,11854
8,Validar solicitud,2016-04-17 21:01:16.108756+00:00,2016-04-18 16:14:23.546837+00:00,22404
12,Traer informacion estudiante - banner,2016-04-17 21:52:40.703084+00:00,2016-04-17 21:52:40.703084+00:00,12006
12,Radicar Solicitud Homologacion,2016-04-17 21:52:43.703084+00:00,2016-04-17 21:52:43.703084+00:00,12129
13,Traer informacion estudiante - banner,2016-04-17 22:28:28.716860+00:00,2016-04-17 22:28:28.716860+00:00,12814
13,Radicar Solicitud Homologacion,2016-04-17 22:28:31.716860+00:00,2016-04-17 22:28:31.716860+00:00,12836
13,Cancelar Solicitud,2016-04-17 22:28:31.716860+00:00,2016-04-18 16:00:03+00:00,14128
12,Cancelar Solicitud,2016-04-18 03:22:32.631114+00:00,2016-04-18 03:22:32.631114+00:00,15884
19,Traer informacion estudiante - banner,2016-04-19 05:00:00.350319+00:00,2016-04-19 05:00:00.350319+00:00,16273
19,Radicar Solicitud Homologacion,2016-04-19 05:00:03.350319+00:00,2016-04-19 11:00:10.125554+00:00,16695
19,Cancelar Solicitud,2016-04-19 11:00:35.037426+00:00,2016-04-19 11:00:35.037426+00:00,22624
23,Traer informacion estudiante - banner,2016-04-19 14:59:30.776964+00:00,2016-04-19 14:59:30.776964+00:00,1792
23,Radicar Solicitud Homologacion,2016-04-19 14:59:33.776964+00:00,2016-04-19 14:59:33.776964+00:00,17965
25,Validar solicitud,2016-04-19 23:12:00.536863+00:00,2016-04-19 23:12:00.536863+00:00,695
4,Revisar curso,2016-04-20 18:48:56.172618+00:00,2016-04-20 18:48:56.172618+00:00,9184
25,Homologacion por grupo de cursos,2016-04-21 18:09:59.153579+00:00,2016-04-22 13:00:19.883861+00:00,2541
31,Traer informacion estudiante - banner,2016-04-22 09:42:29.590067+00:00,2016-04-22 09:42:29.590067+00:00,2144
31,Radicar Solicitud Homologacion,2016-04-22 09:42:32.590067+00:00,2016-04-22 09:42:32.590067+00:00,2150
31,Validar solicitud,2016-04-22 13:10:27.113458+00:00,2016-04-22 13:10:27.113458+00:00,7320
