case_id,activity,start_time,end_time,resource
76,Cancelar Solicitud,2016-04-28 11:39:48.804989+00:00,2016-04-28 11:39:48.804989+00:00,5588
51,Notificacion estudiante cancelacion soli,2016-04-28 12:49:57.516787+00:00,2016-04-28 12:49:57.516787+00:00,6400
36,Revisar curso,2016-04-28 15:54:32.246888+00:00,2016-04-28 15:54:32.246888+00:00,410
36,Evaluacion curso,2016-04-28 15:54:32.833090+00:00,2016-04-28 16:15:47.381785+00:00,7299
17,Notificacion estudiante cancelacion soli,2016-04-28 20:50:16.245217+00:00,2016-04-28 20:50:16.245217+00:00,559
77,Traer informacion estudiante - banner,2016-04-28 22:53:51.462453+00:00,2016-04-28 22:53:51.462453+00:00,5793
77,Radicar Solicitud Homologacion,2016-04-28 22:53:54.462453+00:00,2016-04-28 22:53:54.462453+00:00,5883
77,Cancelar Solicitud,2016-04-28 22:54:08.047968+00:00,2016-04-28 22:54:08.047968+00:00,6437
78,Traer informacion estudiante - banner,2016-04-28 23:20:52.156602+00:00,2016-04-28 23:20:52.156602+00:00,6039
78,Radicar Solicitud Homologacion,2016-04-28 23:20:55.156602+00:00,2016-04-28 23:20:55.156602+00:00,6107
80,Traer informacion estudiante - banner,2016-04-28 23:25:02.789876+00:00,2016-04-28 23:25:02.789876+00:00,6159
80,Radicar Solicitud Homologacion,2016-04-28 23:25:05.789876+00:00,2016-04-28 23:25:05.789876+00:00,6186
80,Validar solicitud,2016-04-28 23:25:05.789994+00:00,2016-04-29 13:06:25.707550+00:00,5802
81,Traer informacion estudiante - banner,2016-04-28 23:26:36.421440+00:00,2016-04-28 23:26:36.421440+00:00,6204
81,Radicar Solicitud Homologacion,2016-04-28 23:26:39.421440+00:00,2016-04-29 13:00:40.055215+00:00,6426
79,Traer informacion estudiante - banner,2016-04-28 23:57:08.418835+00:00,2016-04-28 23:57:08.418835+00:00,6469
79,Radicar Solicitud Homologacion,2016-04-28 23:57:11.418835+00:00,2016-04-28 23:57:11.418835+00:00,6639
82,Traer informacion estudiante - banner,2016-04-29 01:20:52.961635+00:00,2016-04-29 01:20:52.961635+00:00,6723
82,Radicar Solicitud Homologacion,2016-04-29 01:20:55.961635+00:00,2016-04-29 01:20:55.961635+00:00,6876
82,Cancelar Solicitud,2016-04-29 01:20:56.042938+00:00,2016-04-29 01:20:56.042938+00:00,669
67,Notificacion estudiante cancelacion soli,2016-04-29 01:32:37.072244+00:00,2016-04-29 01:32:37.072244+00:00,7297
27,Notificacion estudiante cancelacion soli,2016-04-29 01:46:20.702053+00:00,2016-04-29 01:46:20.702053+00:00,7071
73,Revisar curso,2016-04-29 03:32:58.843111+00:00,2016-04-29 03:32:58.843111+00:00,716
61,Transferir Creditos,2016-04-29 04:50:20.749752+00:00,2016-04-29 04:50:20.749752+00:00,7387
61,Transferir creditos homologables,2016-04-29 04:51:06.400388+00:00,2016-04-29 04:51:06.400388+00:00,7394
64,Revisar curso,2016-04-29 05:30:20.392675+00:00,2016-04-29 13:00:03.765771+00:00,659
62,Notificacion estudiante cancelacion soli,2016-04-29 07:23:28.208911+00:00,2016-04-29 07:23:28.208911+00:00,6694
