case_id,activity,enable_time,start_time,end_time,resource
0,A,2012-03-19 10:10:00.000000+00:00,2012-03-19 10:10:00.000000+00:00,2012-03-19 10:15:00.000000+00:00,Pucci
0,B,2012-03-19 10:15:00.000000+00:00,2012-03-19 10:15:00.000000+00:00,2012-03-19 10:20:00.000000+00:00,DIO
0,C,2012-03-19 10:20:00.000000+00:00,2012-03-19 10:20:00.000000+00:00,2012-03-19 10:25:00.000000+00:00,Pucci
0,D,2012-03-19 10:25:00.000000+00:00,2012-03-19 10:25:00.000000+00:00,2012-03-19 10:30:00.000000+00:00,DIO
0,I,2012-03-19 10:30:00.000000+00:00,2012-03-19 10:30:00.000000+00:00,2012-03-19 10:35:00.000000+00:00,Giorno
0,J,2012-03-19 10:35:00.000000+00:00,2012-03-19 10:35:00.000000+00:00,2012-03-19 10:40:00.000000+00:00,Jolyne
1,A,2012-03-19 10:37:14.407213+00:00,2012-03-19 10:37:14.407213+00:00,2012-03-19 10:42:14.407213+00:00,Pucci
0,K,2012-03-19 10:40:00.000000+00:00,2012-03-19 10:40:00.000000+00:00,2012-03-19 10:45:00.000000+00:00,Jonathan
1,B,2012-03-19 10:42:14.407213+00:00,2012-03-19 10:42:14.407213+00:00,2012-03-19 10:47:14.407213+00:00,DIO
0,N,2012-03-19 10:45:00.000000+00:00,2012-03-19 10:45:00.000000+00:00,2012-03-19 10:50:00.000000+00:00,Giorno
1,F,2012-03-19 10:47:14.407213+00:00,2012-03-19 10:47:14.407213+00:00,2012-03-19 10:52:14.407213+00:00,Pucci
0,P,2012-03-19 10:50:00.000000+00:00,2012-03-19 10:50:00.000000+00:00,2012-03-19 10:55:00.000000+00:00,Jolyne
1,G,2012-03-19 10:52:14.407213+00:00,2012-03-19 10:52:14.407213+00:00,2012-03-19 10:57:14.407213+00:00,DIO
1,H,2012-03-19 10:57:14.407213+00:00,2012-03-19 10:57:14.407213+00:00,2012-03-19 11:02:14.407213+00:00,Pucci
1,I,2012-03-19 11:02:14.407213+00:00,2012-03-19 11:02:14.407213+00:00,2012-03-19 11:07:14.407213+00:00,Jonathan
2,A,2012-03-19 11:04:27.628011+00:00,2012-03-19 11:04:27.628011+00:00,2012-03-19 11:09:27.628011+00:00,DIO
1,J,2012-03-19 11:07:14.407213+00:00,2012-03-19 11:07:14.407213+00:00,2012-03-19 11:12:14.407213+00:00,Giorno
2,B,2012-03-19 11:09:27.628011+00:00,2012-03-19 11:09:27.628011+00:00,2012-03-19 11:14:27.628011+00:00,Pucci
1,K,2012-03-19 11:12:14.407213+00:00,2012-03-19 11:12:14.407213+00:00,2012-03-19 11:17:14.407213+00:00,Jolyne
2,C,2012-03-19 11:14:27.628011+00:00,2012-03-19 11:14:27.628011+00:00,2012-03-19 11:19:27.628011+00:00,DIO
1,N,2012-03-19 11:17:14.407213+00:00,2012-03-19 11:17:14.407213+00:00,2012-03-19 11:22:14.407213+00:00,Jonathan
2,D,2012-03-19 11:19:27.628011+00:00,2012-03-19 11:19:27.628011+00:00,2012-03-19 11:24:27.628011+00:00,Pucci
1,P,2012-03-19 11:22:14.407213+00:00,2012-03-19 11:22:14.407213+00:00,2012-03-19 11:27:14.407213+00:00,Giorno
2,I,2012-03-19 11:24:27.628011+00:00,2012-03-19 11:24:27.628011+00:00,2012-03-19 11:29:27.628011+00:00,Jolyne
2,J,2012-03-19 11:29:27.628011+00:00,2012-03-19 11:29:27.628011+00:00,2012-03-19 11:34:27.628011+00:00,Jonathan
2,K,2012-03-19 11:34:27.628011+00:00,2012-03-19 11:34:27.628011+00:00,2012-03-19 11:39:27.628011+00:00,Giorno
2,N,2012-03-19 11:39:27.628011+00:00,2012-03-19 11:39:27.628011+00:00,2012-03-19 11:44:27.628011+00:00,Jolyne
