started_at,2012-03-19 10:10:00+00:00
completed_at,2013-05-15 14:12:04.132510+00:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a_2,Pucci,1.4853782846973398,20224,12940800.000018002,8712124.132509999,sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a,Evil
sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a_1,DIO,1.4324520415687132,20222,12479700.000014002,8712124.132509999,sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a,Evil
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_3,Jonathan,2.353651037119961,33406,20505300.0,8712124.132509999,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_2,Jolyne,2.406542845477063,33406,20966100.0,8712124.132509999,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_1,Giorno,2.168564142641171,33408,18892800.0,8712124.132509999,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
""
Individual Task Statistics
Name,Count,Min Duration,Max Duration,Avg Duration,Total Duration,Min Waiting Time,Max Waiting Time,Avg Waiting Time,Total Waiting Time,Min Processing Time,Max Processing Time,Avg Processing Time,Total Processing Time,Min Cycle Time,Max Cycle Time,Avg Cycle Time,Total Cycle Time,Min Idle Time,Max Idle Time,Avg Idle Time,Total Idle Time,Min Idle Cycle Time,Max Idle Cycle Time,Avg Idle Cycle Time,Total Idle Cycle Time,Min Idle Processing Time,Max Idle Processing Time,Avg Idle Processing Time,Total Idle Processing Time,Min Cost,Max Cost,Avg Cost,Total Cost
A,5000,1.7976931348623157e+308,0,0,0,0,117.59052224457264,0.029967501068115233,149.83750534057617,299.9999999983778,300.00000000024045,299.9999999999948,1499999.9999999742,299.9999999983778,417.59052224457264,300.02996750106297,1500149.8375053147,0.0,230400.00000000003,875.5200000063996,4377600.000031998,300.0,230700.0,1175.549967507463,5877749.837537315,300.0,230700.0,1175.5200000063949,5877600.000031974,0.0,0,0.0,0.0
B,5000,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,1500000.0,300.0,300.0,300.0,1500000.0,0.0,230400.0,1082.88,5414400.0,300.0,230700.0,1382.88,6914400.0,300.0,230700.0,1382.88,6914400.0,0.0,0,0.0,0.0
C,1755,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,526500.0,300.0,300.0,300.0,526500.0,0.0,230400.0,918.974358974359,1612800.0,300.0,230700.0,1218.974358974359,2139300.0,300.0,230700.0,1218.974358974359,2139300.0,0.0,0,0.0,0.0
D,1755,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,299.99999999953434,300.0,299.9999999999997,526499.9999999995,299.99999999953434,300.0,299.9999999999997,526499.9999999995,0.0,230400.0,1772.3076923076924,3110400.0,300.0,230700.0,2072.307692307692,3636899.9999999995,300.0,230700.0,2072.307692307692,3636899.9999999995,0.0,0,0.0,0.0
I,10022,1.7976931348623157e+308,0,0,0,0.0,57608.84163823724,14.23402103970181,142653.35885989154,299.9999999990687,300.00000000046566,299.99999999999994,3006599.9999999995,299.9999999990687,57908.84163823724,314.23402103970176,3149253.358859891,0.0,230400.00000000003,936.8189982039513,9388800.0,300.0,230796.14183107717,1251.0530192436531,12538053.358859891,300.0,230700.00000000047,1236.8189982039512,12395400.0,0.0,0,0.0,0.0
L,5006,1.7976931348623157e+308,0,0,0,0.0,57835.767028570175,19.949757038714367,99868.48373580413,299.9999999999709,300.0,300.0,1501800.0,300.0,58135.767028570175,319.9497570387143,1601668.483735804,0.0,230400.00000000003,1127.6068717538953,5644800.0,300.0,230726.96013601124,1447.5566287926097,7246468.4837358035,300.0,230700.0,1427.6068717538953,7146600.0,0.0,0,0.0,0.0
M,5006,1.7976931348623157e+308,0,0,0,0.0,300.0,8.269418999097752,41396.71150948334,299.9999999999991,300.0000000000291,300.0,1501800.0,299.9999999999991,600.0,308.26941899909775,1543196.7115094834,0.0,230400.0,770.9149021174591,3859200.0,299.9999999999991,230920.08429258876,1079.1843211165567,5402396.711509483,299.9999999999991,230700.0,1070.914902117459,5361000.0,0.0,0,0.0,0.0
N,10022,1.7976931348623157e+308,0,0,0,0.0,230561.0432180874,37.24151904803708,373234.5038994276,300.0,300.0000000009313,300.0000000000001,3006600.0000000014,300.0,230861.0432180874,337.2415190480372,3379834.503899429,0.0,230400.00000000003,908.0822191179406,9100800.0,300.0,230861.0432180874,1245.3237381659778,12480634.503899429,300.0,230700.00000000093,1208.0822191179407,12107400.000000002,0.0,0,0.0,0.0
F,1734,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,520200.0,300.0,300.0,300.0,520200.0,0.0,230400.0,597.923875432526,1036800.0,300.0,230700.0,897.923875432526,1557000.0,300.0,230700.0,897.923875432526,1557000.0,0.0,0,0.0,0.0
O,5022,1.7976931348623157e+308,0,0,0,0.0,230620.08429258876,54.41155192224874,273254.8137535332,299.9999999962747,300.0,299.99999999999926,1506599.9999999963,299.9999999962747,230920.08429258876,354.411551922248,1779854.8137535295,0.0,230400.00000000003,1043.7275985663082,5241600.0,300.0,230920.08429258876,1398.1391504885562,7021454.813753529,300.0,230700.0,1343.7275985663075,6748199.999999996,0.0,0,0.0,0.0
G,1734,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,299.9999999999982,300.0,300.0,520200.0,299.9999999999982,300.0,300.0,520200.0,0.0,230400.0,298.961937716263,518400.0,299.9999999999982,230700.0,598.9619377162629,1038600.0,299.9999999999982,230700.0,598.9619377162629,1038600.0,0.0,0,0.0,0.0
H,1734,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,520200.0,300.0,300.0,300.0,520200.0,0.0,230400.0,963.3217993079585,1670400.0,300.0,230700.0,1263.3217993079584,2190600.0,300.0,230700.0,1263.3217993079584,2190600.0,0.0,0,0.0,0.0
J,5016,1.7976931348623157e+308,0,0,0,0.0,300.0,8.189238142099944,41077.21852077332,299.9999999999709,300.0000000000291,300.0,1504800.0,299.9999999999709,600.0,308.18923814209995,1545877.2185207733,0.0,230400.00000000003,620.0956937799043,3110400.0,300.0,230861.0432180874,928.2849319220043,4656277.218520774,300.0,230700.0,920.0956937799043,4615200.0,0.0,0,0.0,0.0
K,5016,1.7976931348623157e+308,0,0,0,0.0,300.0,7.714209921741096,38694.47696745334,300.0,300.00000000001455,300.0,1504800.0,300.0,600.0,307.71420992174114,1543494.4769674535,0.0,230400.0,757.8947368421053,3801600.0,300.0,230829.17020923714,1065.6089467638465,5345094.476967454,300.0,230700.0,1057.8947368421052,5306400.0,0.0,0,0.0,0.0
P,5000,1.7976931348623157e+308,0,0,0,0.0,230553.32013521506,55.69145783249815,278457.28916249075,299.9999999999709,300.00000000023283,300.00000000000006,1500000.0000000002,299.9999999999709,230853.32013521506,355.6914578324982,1778457.289162491,0.0,230400.00000000003,1036.8,5184000.0,300.0,230853.32013521506,1392.491457832498,6962457.2891624905,300.0,230700.0,1336.8,6684000.0,0.0,0,0.0,0.0
E,1511,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,453300.0,300.0,300.0,300.0,453300.0,0.0,230400.0,1067.3726009265388,1612800.0,300.0,230700.0,1367.3726009265388,2066100.0,300.0,230700.0,1367.3726009265388,2066100.0,0.0,0,0.0,0.0
""
Overall Scenario Statistics
KPI,Min,Max,Average,Accumulated Value,Trace Ocurrences
cycle_time,2400.0,240087.397449,8558.59892278279,42792994.61391395,5000
processing_time,2400.0,47686.318338,8300.841584000997,41504207.920004986,5000
idle_cycle_time,2400.0,251073.039864,17414.69733878819,87073486.69394095,5000
idle_processing_time,2400.0,249300.0,17156.940000006394,85784700.00003196,5000
waiting_time,0.0,231387.397449,257.7573387817998,1288786.693908999,5000
idle_time,0.0,201898.514131,8856.098416005396,44280492.08002698,5000
