case_id,activity,enable_time,start_time,end_time,resource
413,I,2012-04-20 16:52:35.072914+00:00,2012-04-23 09:00:00.000000+00:00,2012-04-23 09:05:00.000000+00:00,Giorno
413,J,2012-04-23 09:05:00.000000+00:00,2012-04-23 09:05:00.000000+00:00,2012-04-23 09:10:00.000000+00:00,Jolyne
413,K,2012-04-23 09:10:00.000000+00:00,2012-04-23 09:10:00.000000+00:00,2012-04-23 09:15:00.000000+00:00,Jonathan
413,N,2012-04-23 09:15:00.000000+00:00,2012-04-23 09:15:00.000000+00:00,2012-04-23 09:20:00.000000+00:00,Giorno
413,O,2012-04-23 09:20:00.000000+00:00,2012-04-23 09:20:00.000000+00:00,2012-04-23 09:25:00.000000+00:00,Jolyne
413,I,2012-04-23 09:25:00.000000+00:00,2012-04-23 09:25:00.000000+00:00,2012-04-23 09:30:00.000000+00:00,Jonathan
414,A,2012-04-23 09:28:26.549164+00:00,2012-04-23 09:28:26.549164+00:00,2012-04-23 09:33:26.549164+00:00,Pucci
413,L,2012-04-23 09:30:00.000000+00:00,2012-04-23 09:30:00.000000+00:00,2012-04-23 09:35:00.000000+00:00,Giorno
414,B,2012-04-23 09:33:26.549164+00:00,2012-04-23 09:33:26.549164+00:00,2012-04-23 09:38:26.549164+00:00,DIO
413,M,2012-04-23 09:35:00.000000+00:00,2012-04-23 09:35:00.000000+00:00,2012-04-23 09:40:00.000000+00:00,Jolyne
414,C,2012-04-23 09:38:26.549164+00:00,2012-04-23 09:38:26.549164+00:00,2012-04-23 09:43:26.549164+00:00,Pucci
413,N,2012-04-23 09:40:00.000000+00:00,2012-04-23 09:40:00.000000+00:00,2012-04-23 09:45:00.000000+00:00,Jonathan
414,D,2012-04-23 09:43:26.549164+00:00,2012-04-23 09:43:26.549164+00:00,2012-04-23 09:48:26.549164+00:00,DIO
413,P,2012-04-23 09:45:00.000000+00:00,2012-04-23 09:45:00.000000+00:00,2012-04-23 09:50:00.000000+00:00,Giorno
414,I,2012-04-23 09:48:26.549164+00:00,2012-04-23 09:48:26.549164+00:00,2012-04-23 09:53:26.549164+00:00,Jolyne
414,L,2012-04-23 09:53:26.549164+00:00,2012-04-23 09:53:26.549164+00:00,2012-04-23 09:58:26.549164+00:00,Jonathan
415,A,2012-04-23 09:57:58.958237+00:00,2012-04-23 09:57:58.958237+00:00,2012-04-23 10:02:58.958237+00:00,Pucci
414,M,2012-04-23 09:58:26.549164+00:00,2012-04-23 09:58:26.549164+00:00,2012-04-23 10:03:26.549164+00:00,Giorno
415,B,2012-04-23 10:02:58.958237+00:00,2012-04-23 10:02:58.958237+00:00,2012-04-23 10:07:58.958237+00:00,DIO
414,N,2012-04-23 10:03:26.549164+00:00,2012-04-23 10:03:26.549164+00:00,2012-04-23 10:08:26.549164+00:00,Jolyne
415,C,2012-04-23 10:07:58.958237+00:00,2012-04-23 10:07:58.958237+00:00,2012-04-23 10:12:58.958237+00:00,Pucci
414,P,2012-04-23 10:08:26.549164+00:00,2012-04-23 10:08:26.549164+00:00,2012-04-23 10:13:26.549164+00:00,Jonathan
415,D,2012-04-23 10:12:58.958237+00:00,2012-04-23 10:12:58.958237+00:00,2012-04-23 10:17:58.958237+00:00,DIO
415,I,2012-04-23 10:17:58.958237+00:00,2012-04-23 10:17:58.958237+00:00,2012-04-23 10:22:58.958237+00:00,Giorno
415,J,2012-04-23 10:22:58.958237+00:00,2012-04-23 10:22:58.958237+00:00,2012-04-23 10:27:58.958237+00:00,Jolyne
416,A,2012-04-23 10:27:53.799983+00:00,2012-04-23 10:27:53.799983+00:00,2012-04-23 10:32:53.799983+00:00,Pucci
415,K,2012-04-23 10:27:58.958237+00:00,2012-04-23 10:27:58.958237+00:00,2012-04-23 10:32:58.958237+00:00,Jonathan
416,B,2012-04-23 10:32:53.799983+00:00,2012-04-23 10:32:53.799983+00:00,2012-04-23 10:37:53.799983+00:00,DIO
415,N,2012-04-23 10:32:58.958237+00:00,2012-04-23 10:32:58.958237+00:00,2012-04-23 10:37:58.958237+00:00,Giorno
416,E,2012-04-23 10:37:53.799983+00:00,2012-04-23 10:37:53.799983+00:00,2012-04-23 10:42:53.799983+00:00,Pucci
415,O,2012-04-23 10:37:58.958237+00:00,2012-04-23 10:37:58.958237+00:00,2012-04-23 10:42:58.958237+00:00,Jolyne
416,I,2012-04-23 10:42:53.799983+00:00,2012-04-23 10:42:53.799983+00:00,2012-04-23 10:47:53.799983+00:00,Jonathan
415,I,2012-04-23 10:42:58.958237+00:00,2012-04-23 10:42:58.958237+00:00,2012-04-23 10:47:58.958237+00:00,Giorno
416,J,2012-04-23 10:47:53.799983+00:00,2012-04-23 10:47:53.799983+00:00,2012-04-23 10:52:53.799983+00:00,Jolyne
415,L,2012-04-23 10:47:58.958237+00:00,2012-04-23 10:47:58.958237+00:00,2012-04-23 10:52:58.958237+00:00,Jonathan
416,K,2012-04-23 10:52:53.799983+00:00,2012-04-23 10:52:53.799983+00:00,2012-04-23 10:57:53.799983+00:00,Giorno
415,M,2012-04-23 10:52:58.958237+00:00,2012-04-23 10:52:58.958237+00:00,2012-04-23 10:57:58.958237+00:00,Jolyne
416,N,2012-04-23 10:57:53.799983+00:00,2012-04-23 10:57:53.799983+00:00,2012-04-23 11:02:53.799983+00:00,Jonathan
415,N,2012-04-23 10:57:58.958237+00:00,2012-04-23 10:57:58.958237+00:00,2012-04-23 11:02:58.958237+00:00,Giorno
416,O,2012-04-23 11:02:53.799983+00:00,2012-04-23 11:02:53.799983+00:00,2012-04-23 11:07:53.799983+00:00,Jolyne
415,O,2012-04-23 11:02:58.958237+00:00,2012-04-23 11:02:58.958237+00:00,2012-04-23 11:07:58.958237+00:00,Jonathan
417,A,2012-04-23 11:04:14.201297+00:00,2012-04-23 11:04:14.201297+00:00,2012-04-23 11:09:14.201297+00:00,DIO
416,I,2012-04-23 11:07:53.799983+00:00,2012-04-23 11:07:53.799983+00:00,2012-04-23 11:12:53.799983+00:00,Giorno
415,I,2012-04-23 11:07:58.958237+00:00,2012-04-23 11:07:58.958237+00:00,2012-04-23 11:12:58.958237+00:00,Jolyne
417,B,2012-04-23 11:09:14.201297+00:00,2012-04-23 11:09:14.201297+00:00,2012-04-23 11:14:14.201297+00:00,Pucci
416,J,2012-04-23 11:12:53.799983+00:00,2012-04-23 11:12:53.799983+00:00,2012-04-23 11:17:53.799983+00:00,Jonathan
415,J,2012-04-23 11:12:58.958237+00:00,2012-04-23 11:12:58.958237+00:00,2012-04-23 11:17:58.958237+00:00,Giorno
417,F,2012-04-23 11:14:14.201297+00:00,2012-04-23 11:14:14.201297+00:00,2012-04-23 11:19:14.201297+00:00,DIO
416,K,2012-04-23 11:17:53.799983+00:00,2012-04-23 11:17:53.799983+00:00,2012-04-23 11:22:53.799983+00:00,Jolyne
415,K,2012-04-23 11:17:58.958237+00:00,2012-04-23 11:17:58.958237+00:00,2012-04-23 11:22:58.958237+00:00,Jonathan
417,G,2012-04-23 11:19:14.201297+00:00,2012-04-23 11:19:14.201297+00:00,2012-04-23 11:24:14.201297+00:00,Pucci
416,N,2012-04-23 11:22:53.799983+00:00,2012-04-23 11:22:53.799983+00:00,2012-04-23 11:27:53.799983+00:00,Giorno
415,N,2012-04-23 11:22:58.958237+00:00,2012-04-23 11:22:58.958237+00:00,2012-04-23 11:27:58.958237+00:00,Jolyne
417,H,2012-04-23 11:24:14.201297+00:00,2012-04-23 11:24:14.201297+00:00,2012-04-23 11:29:14.201297+00:00,DIO
416,P,2012-04-23 11:27:53.799983+00:00,2012-04-23 11:27:53.799983+00:00,2012-04-23 11:32:53.799983+00:00,Jonathan
415,P,2012-04-23 11:27:58.958237+00:00,2012-04-23 11:27:58.958237+00:00,2012-04-23 11:32:58.958237+00:00,Giorno
417,I,2012-04-23 11:29:14.201297+00:00,2012-04-23 11:29:14.201297+00:00,2012-04-23 11:34:14.201297+00:00,Jolyne
418,A,2012-04-23 11:33:26.137445+00:00,2012-04-23 11:33:26.137445+00:00,2012-04-23 11:38:26.137445+00:00,Pucci
417,L,2012-04-23 11:34:14.201297+00:00,2012-04-23 11:34:14.201297+00:00,2012-04-23 11:39:14.201297+00:00,Jonathan
418,B,2012-04-23 11:38:26.137445+00:00,2012-04-23 11:38:26.137445+00:00,2012-04-23 11:43:26.137445+00:00,DIO
417,M,2012-04-23 11:39:14.201297+00:00,2012-04-23 11:39:14.201297+00:00,2012-04-23 11:44:14.201297+00:00,Giorno
418,E,2012-04-23 11:43:26.137445+00:00,2012-04-23 11:43:26.137445+00:00,2012-04-23 11:48:26.137445+00:00,Pucci
417,N,2012-04-23 11:44:14.201297+00:00,2012-04-23 11:44:14.201297+00:00,2012-04-23 11:49:14.201297+00:00,Jolyne
418,I,2012-04-23 11:48:26.137445+00:00,2012-04-23 11:48:26.137445+00:00,2012-04-23 11:53:26.137445+00:00,Jonathan
417,P,2012-04-23 11:49:14.201297+00:00,2012-04-23 11:49:14.201297+00:00,2012-04-23 11:54:14.201297+00:00,Giorno
418,J,2012-04-23 11:53:26.137445+00:00,2012-04-23 11:53:26.137445+00:00,2012-04-23 11:58:26.137445+00:00,Jolyne
418,K,2012-04-23 11:58:26.137445+00:00,2012-04-23 11:58:26.137445+00:00,2012-04-23 12:03:26.137445+00:00,Jonathan
419,A,2012-04-23 12:01:43.896005+00:00,2012-04-23 12:01:43.896005+00:00,2012-04-23 12:06:43.896005+00:00,DIO
418,N,2012-04-23 12:03:26.137445+00:00,2012-04-23 12:03:26.137445+00:00,2012-04-23 12:08:26.137445+00:00,Giorno
419,B,2012-04-23 12:06:43.896005+00:00,2012-04-23 12:06:43.896005+00:00,2012-04-23 12:11:43.896005+00:00,Pucci
418,P,2012-04-23 12:08:26.137445+00:00,2012-04-23 12:08:26.137445+00:00,2012-04-23 12:13:26.137445+00:00,Jolyne
419,C,2012-04-23 12:11:43.896005+00:00,2012-04-23 12:11:43.896005+00:00,2012-04-23 12:16:43.896005+00:00,DIO
419,D,2012-04-23 12:16:43.896005+00:00,2012-04-23 12:16:43.896005+00:00,2012-04-23 12:21:43.896005+00:00,Pucci
419,I,2012-04-23 12:21:43.896005+00:00,2012-04-23 12:21:43.896005+00:00,2012-04-23 12:26:43.896005+00:00,Jonathan
420,A,2012-04-23 12:25:29.634185+00:00,2012-04-23 12:25:29.634185+00:00,2012-04-23 12:30:29.634185+00:00,DIO
419,L,2012-04-23 12:26:43.896005+00:00,2012-04-23 12:26:43.896005+00:00,2012-04-23 12:31:43.896005+00:00,Giorno
420,B,2012-04-23 12:30:29.634185+00:00,2012-04-23 12:30:29.634185+00:00,2012-04-23 12:35:29.634185+00:00,Pucci
419,M,2012-04-23 12:31:43.896005+00:00,2012-04-23 12:31:43.896005+00:00,2012-04-23 12:36:43.896005+00:00,Jolyne
420,C,2012-04-23 12:35:29.634185+00:00,2012-04-23 12:35:29.634185+00:00,2012-04-23 12:40:29.634185+00:00,DIO
419,N,2012-04-23 12:36:43.896005+00:00,2012-04-23 12:36:43.896005+00:00,2012-04-23 12:41:43.896005+00:00,Jonathan
420,D,2012-04-23 12:40:29.634185+00:00,2012-04-23 12:40:29.634185+00:00,2012-04-23 12:45:29.634185+00:00,Pucci
419,O,2012-04-23 12:41:43.896005+00:00,2012-04-23 12:41:43.896005+00:00,2012-04-23 12:46:43.896005+00:00,Giorno
420,I,2012-04-23 12:45:29.634185+00:00,2012-04-23 12:45:29.634185+00:00,2012-04-23 12:50:29.634185+00:00,Jolyne
419,I,2012-04-23 12:46:43.896005+00:00,2012-04-23 12:46:43.896005+00:00,2012-04-23 12:51:43.896005+00:00,Jonathan
420,L,2012-04-23 12:50:29.634185+00:00,2012-04-23 12:50:29.634185+00:00,2012-04-23 12:55:29.634185+00:00,Giorno
419,J,2012-04-23 12:51:43.896005+00:00,2012-04-23 12:51:43.896005+00:00,2012-04-23 12:56:43.896005+00:00,Jolyne
421,A,2012-04-23 12:52:15.685928+00:00,2012-04-23 12:52:15.685928+00:00,2012-04-23 12:57:15.685928+00:00,DIO
420,M,2012-04-23 12:55:29.634185+00:00,2012-04-23 12:55:29.634185+00:00,2012-04-23 13:00:29.634185+00:00,Jonathan
419,K,2012-04-23 12:56:43.896005+00:00,2012-04-23 12:56:43.896005+00:00,2012-04-23 13:01:43.896005+00:00,Giorno
421,B,2012-04-23 12:57:15.685928+00:00,2012-04-23 12:57:15.685928+00:00,2012-04-23 13:02:15.685928+00:00,Pucci
420,N,2012-04-23 13:00:29.634185+00:00,2012-04-23 13:00:29.634185+00:00,2012-04-23 13:05:29.634185+00:00,Jolyne
419,N,2012-04-23 13:01:43.896005+00:00,2012-04-23 13:01:43.896005+00:00,2012-04-23 13:06:43.896005+00:00,Jonathan
421,E,2012-04-23 13:02:15.685928+00:00,2012-04-23 13:02:15.685928+00:00,2012-04-23 13:07:15.685928+00:00,DIO
420,O,2012-04-23 13:05:29.634185+00:00,2012-04-23 13:05:29.634185+00:00,2012-04-23 13:10:29.634185+00:00,Giorno
419,P,2012-04-23 13:06:43.896005+00:00,2012-04-23 13:06:43.896005+00:00,2012-04-23 13:11:43.896005+00:00,Jolyne
421,I,2012-04-23 13:07:15.685928+00:00,2012-04-23 13:07:15.685928+00:00,2012-04-23 13:12:15.685928+00:00,Jonathan
420,I,2012-04-23 13:10:29.634185+00:00,2012-04-23 13:10:29.634185+00:00,2012-04-23 13:15:29.634185+00:00,Giorno
421,J,2012-04-23 13:12:15.685928+00:00,2012-04-23 13:12:15.685928+00:00,2012-04-23 13:17:15.685928+00:00,Jolyne
422,A,2012-04-23 13:15:05.946303+00:00,2012-04-23 13:15:05.946303+00:00,2012-04-23 13:20:05.946303+00:00,Pucci
420,L,2012-04-23 13:15:29.634185+00:00,2012-04-23 13:15:29.634185+00:00,2012-04-23 13:20:29.634185+00:00,Jonathan
421,K,2012-04-23 13:17:15.685928+00:00,2012-04-23 13:17:15.685928+00:00,2012-04-23 13:22:15.685928+00:00,Giorno
422,B,2012-04-23 13:20:05.946303+00:00,2012-04-23 13:20:05.946303+00:00,2012-04-23 13:25:05.946303+00:00,DIO
420,M,2012-04-23 13:20:29.634185+00:00,2012-04-23 13:20:29.634185+00:00,2012-04-23 13:25:29.634185+00:00,Jolyne
421,N,2012-04-23 13:22:15.685928+00:00,2012-04-23 13:22:15.685928+00:00,2012-04-23 13:27:15.685928+00:00,Jonathan
422,F,2012-04-23 13:25:05.946303+00:00,2012-04-23 13:25:05.946303+00:00,2012-04-23 13:30:05.946303+00:00,Pucci
420,N,2012-04-23 13:25:29.634185+00:00,2012-04-23 13:25:29.634185+00:00,2012-04-23 13:30:29.634185+00:00,Giorno
421,O,2012-04-23 13:27:15.685928+00:00,2012-04-23 13:27:15.685928+00:00,2012-04-23 13:32:15.685928+00:00,Jolyne
422,G,2012-04-23 13:30:05.946303+00:00,2012-04-23 13:30:05.946303+00:00,2012-04-23 13:35:05.946303+00:00,DIO
420,O,2012-04-23 13:30:29.634185+00:00,2012-04-23 13:30:29.634185+00:00,2012-04-23 13:35:29.634185+00:00,Jonathan
421,I,2012-04-23 13:32:15.685928+00:00,2012-04-23 13:32:15.685928+00:00,2012-04-23 13:37:15.685928+00:00,Giorno
422,H,2012-04-23 13:35:05.946303+00:00,2012-04-23 13:35:05.946303+00:00,2012-04-23 13:40:05.946303+00:00,Pucci
420,I,2012-04-23 13:35:29.634185+00:00,2012-04-23 13:35:29.634185+00:00,2012-04-23 13:40:29.634185+00:00,Jolyne
423,A,2012-04-23 13:35:59.704810+00:00,2012-04-23 13:35:59.704810+00:00,2012-04-23 13:40:59.704810+00:00,DIO
421,J,2012-04-23 13:37:15.685928+00:00,2012-04-23 13:37:15.685928+00:00,2012-04-23 13:42:15.685928+00:00,Jonathan
422,I,2012-04-23 13:40:05.946303+00:00,2012-04-23 13:40:05.946303+00:00,2012-04-23 13:45:05.946303+00:00,Giorno
420,L,2012-04-23 13:40:29.634185+00:00,2012-04-23 13:40:29.634185+00:00,2012-04-23 13:45:29.634185+00:00,Jolyne
423,B,2012-04-23 13:40:59.704810+00:00,2012-04-23 13:40:59.704810+00:00,2012-04-23 13:45:59.704810+00:00,Pucci
421,K,2012-04-23 13:42:15.685928+00:00,2012-04-23 13:42:15.685928+00:00,2012-04-23 13:47:15.685928+00:00,Jonathan
422,J,2012-04-23 13:45:05.946303+00:00,2012-04-23 13:45:05.946303+00:00,2012-04-23 13:50:05.946303+00:00,Giorno
420,M,2012-04-23 13:45:29.634185+00:00,2012-04-23 13:45:29.634185+00:00,2012-04-23 13:50:29.634185+00:00,Jolyne
423,E,2012-04-23 13:45:59.704810+00:00,2012-04-23 13:45:59.704810+00:00,2012-04-23 13:50:59.704810+00:00,DIO
421,N,2012-04-23 13:47:15.685928+00:00,2012-04-23 13:47:15.685928+00:00,2012-04-23 13:52:15.685928+00:00,Jonathan
422,K,2012-04-23 13:50:05.946303+00:00,2012-04-23 13:50:05.946303+00:00,2012-04-23 13:55:05.946303+00:00,Giorno
420,N,2012-04-23 13:50:29.634185+00:00,2012-04-23 13:50:29.634185+00:00,2012-04-23 13:55:29.634185+00:00,Jolyne
423,I,2012-04-23 13:50:59.704810+00:00,2012-04-23 13:52:15.685928+00:00,2012-04-23 13:57:15.685928+00:00,Jonathan
421,P,2012-04-23 13:52:15.685928+00:00,2012-04-23 13:55:05.946303+00:00,2012-04-23 14:00:05.946303+00:00,Giorno
422,N,2012-04-23 13:55:05.946303+00:00,2012-04-23 13:55:29.634185+00:00,2012-04-23 14:00:29.634185+00:00,Jolyne
420,O,2012-04-23 13:55:29.634185+00:00,2012-04-23 13:57:15.685928+00:00,2012-04-23 14:02:15.685928+00:00,Jonathan
423,J,2012-04-23 13:57:15.685928+00:00,2012-04-23 14:00:05.946303+00:00,2012-04-23 14:05:05.946303+00:00,Giorno
422,P,2012-04-23 14:00:29.634185+00:00,2012-04-23 14:00:29.634185+00:00,2012-04-23 14:05:29.634185+00:00,Jolyne
420,I,2012-04-23 14:02:15.685928+00:00,2012-04-23 14:02:15.685928+00:00,2012-04-23 14:07:15.685928+00:00,Jonathan
423,K,2012-04-23 14:05:05.946303+00:00,2012-04-23 14:05:05.946303+00:00,2012-04-23 14:10:05.946303+00:00,Giorno
420,L,2012-04-23 14:07:15.685928+00:00,2012-04-23 14:07:15.685928+00:00,2012-04-23 14:12:15.685928+00:00,Jolyne
423,N,2012-04-23 14:10:05.946303+00:00,2012-04-23 14:10:05.946303+00:00,2012-04-23 14:15:05.946303+00:00,Jonathan
424,A,2012-04-23 14:10:24.680608+00:00,2012-04-23 14:10:24.680608+00:00,2012-04-23 14:15:24.680608+00:00,Pucci
420,M,2012-04-23 14:12:15.685928+00:00,2012-04-23 14:12:15.685928+00:00,2012-04-23 14:17:15.685928+00:00,Giorno
423,P,2012-04-23 14:15:05.946303+00:00,2012-04-23 14:15:05.946303+00:00,2012-04-23 14:20:05.946303+00:00,Jolyne
424,B,2012-04-23 14:15:24.680608+00:00,2012-04-23 14:15:24.680608+00:00,2012-04-23 14:20:24.680608+00:00,DIO
420,N,2012-04-23 14:17:15.685928+00:00,2012-04-23 14:17:15.685928+00:00,2012-04-23 14:22:15.685928+00:00,Jonathan
424,C,2012-04-23 14:20:24.680608+00:00,2012-04-23 14:20:24.680608+00:00,2012-04-23 14:25:24.680608+00:00,Pucci
420,O,2012-04-23 14:22:15.685928+00:00,2012-04-23 14:22:15.685928+00:00,2012-04-23 14:27:15.685928+00:00,Giorno
424,D,2012-04-23 14:25:24.680608+00:00,2012-04-23 14:25:24.680608+00:00,2012-04-23 14:30:24.680608+00:00,DIO
420,I,2012-04-23 14:27:15.685928+00:00,2012-04-23 14:27:15.685928+00:00,2012-04-23 14:32:15.685928+00:00,Jolyne
424,I,2012-04-23 14:30:24.680608+00:00,2012-04-23 14:30:24.680608+00:00,2012-04-23 14:35:24.680608+00:00,Jonathan
420,L,2012-04-23 14:32:15.685928+00:00,2012-04-23 14:32:15.685928+00:00,2012-04-23 14:37:15.685928+00:00,Giorno
424,L,2012-04-23 14:35:24.680608+00:00,2012-04-23 14:35:24.680608+00:00,2012-04-23 14:40:24.680608+00:00,Jolyne
420,M,2012-04-23 14:37:15.685928+00:00,2012-04-23 14:37:15.685928+00:00,2012-04-23 14:42:15.685928+00:00,Jonathan
424,M,2012-04-23 14:40:24.680608+00:00,2012-04-23 14:40:24.680608+00:00,2012-04-23 14:45:24.680608+00:00,Giorno
420,N,2012-04-23 14:42:15.685928+00:00,2012-04-23 14:42:15.685928+00:00,2012-04-23 14:47:15.685928+00:00,Jolyne
425,A,2012-04-23 14:43:04.570095+00:00,2012-04-23 14:43:04.570095+00:00,2012-04-23 14:48:04.570095+00:00,Pucci
424,N,2012-04-23 14:45:24.680608+00:00,2012-04-23 14:45:24.680608+00:00,2012-04-23 14:50:24.680608+00:00,Jonathan
420,O,2012-04-23 14:47:15.685928+00:00,2012-04-23 14:47:15.685928+00:00,2012-04-23 14:52:15.685928+00:00,Giorno
425,B,2012-04-23 14:48:04.570095+00:00,2012-04-23 14:48:04.570095+00:00,2012-04-23 14:53:04.570095+00:00,DIO
424,P,2012-04-23 14:50:24.680608+00:00,2012-04-23 14:50:24.680608+00:00,2012-04-23 14:55:24.680608+00:00,Jolyne
420,I,2012-04-23 14:52:15.685928+00:00,2012-04-23 14:52:15.685928+00:00,2012-04-23 14:57:15.685928+00:00,Jonathan
425,E,2012-04-23 14:53:04.570095+00:00,2012-04-23 14:53:04.570095+00:00,2012-04-23 14:58:04.570095+00:00,Pucci
420,L,2012-04-23 14:57:15.685928+00:00,2012-04-23 14:57:15.685928+00:00,2012-04-23 15:02:15.685928+00:00,Giorno
425,I,2012-04-23 14:58:04.570095+00:00,2012-04-23 14:58:04.570095+00:00,2012-04-23 15:03:04.570095+00:00,Jolyne
420,M,2012-04-23 15:02:15.685928+00:00,2012-04-23 15:02:15.685928+00:00,2012-04-23 15:07:15.685928+00:00,Jonathan
425,J,2012-04-23 15:03:04.570095+00:00,2012-04-23 15:03:04.570095+00:00,2012-04-23 15:08:04.570095+00:00,Giorno
420,N,2012-04-23 15:07:15.685928+00:00,2012-04-23 15:07:15.685928+00:00,2012-04-23 15:12:15.685928+00:00,Jolyne
425,K,2012-04-23 15:08:04.570095+00:00,2012-04-23 15:08:04.570095+00:00,2012-04-23 15:13:04.570095+00:00,Jonathan
420,O,2012-04-23 15:12:15.685928+00:00,2012-04-23 15:12:15.685928+00:00,2012-04-23 15:17:15.685928+00:00,Giorno
425,N,2012-04-23 15:13:04.570095+00:00,2012-04-23 15:13:04.570095+00:00,2012-04-23 15:18:04.570095+00:00,Jolyne
426,A,2012-04-23 15:17:10.656447+00:00,2012-04-23 15:17:10.656447+00:00,2012-04-23 15:22:10.656447+00:00,DIO
420,I,2012-04-23 15:17:15.685928+00:00,2012-04-23 15:17:15.685928+00:00,2012-04-23 15:22:15.685928+00:00,Jonathan
425,O,2012-04-23 15:18:04.570095+00:00,2012-04-23 15:18:04.570095+00:00,2012-04-23 15:23:04.570095+00:00,Giorno
426,B,2012-04-23 15:22:10.656447+00:00,2012-04-23 15:22:10.656447+00:00,2012-04-23 15:27:10.656447+00:00,Pucci
420,J,2012-04-23 15:22:15.685928+00:00,2012-04-23 15:22:15.685928+00:00,2012-04-23 15:27:15.685928+00:00,Jolyne
425,I,2012-04-23 15:23:04.570095+00:00,2012-04-23 15:23:04.570095+00:00,2012-04-23 15:28:04.570095+00:00,Jonathan
