started_at,2012-04-23 09:00:00+00:00
completed_at,2013-01-25 11:51:16.869545+00:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a_2,Pucci,1.4784523551816893,13198,8488500.0,5741476.869545002,sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a,Evil
sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a_1,DIO,1.0771618767298294,13198,6184500.0,5741476.869545002,sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a,Evil
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_3,Jonathan,2.381617188520283,21654,13674000.0,5741476.869545002,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_2,Jolyne,2.3314036273494185,21654,13385700.0,5741476.869545002,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_1,Giorno,2.3514681512720115,21654,13500900.0,5741476.869545002,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
""
Individual Task Statistics
Name,Count,Min Duration,Max Duration,Avg Duration,Total Duration,Min Waiting Time,Max Waiting Time,Avg Waiting Time,Total Waiting Time,Min Processing Time,Max Processing Time,Avg Processing Time,Total Processing Time,Min Cycle Time,Max Cycle Time,Avg Cycle Time,Total Cycle Time,Min Idle Time,Max Idle Time,Avg Idle Time,Total Idle Time,Min Idle Cycle Time,Max Idle Cycle Time,Avg Idle Cycle Time,Total Idle Cycle Time,Min Idle Processing Time,Max Idle Processing Time,Avg Idle Processing Time,Total Idle Processing Time,Min Cost,Max Cost,Avg Cost,Total Cost
N,6497,1.7976931348623157e+308,0,0,0,0.0,230849.355246,96.8084916242891,628964.7700830064,299.9999999999982,300.0,300.0,1949100.0,299.9999999999982,231149.355246,396.8084916242891,2578064.7700830065,0.0,230400.0,859.9661382176389,5587200.0,299.9999999999982,231149.355246,1256.7746298419281,8165264.7700830065,299.9999999999982,230700.0,1159.966138217639,7536300.0,0.0,0,0.0,0.0
P,3274,1.7976931348623157e+308,0,0,0,0.0,531.1782769999991,7.503793538182311,24567.420044008886,299.9999999990687,300.00000000186265,300.0000000000003,982200.0000000009,299.9999999990687,831.1782769999991,307.5037935381826,1006767.4200440098,0.0,230400.0,1143.5552840562004,3744000.0,300.0,230700.00000000186,1451.0590775943829,4750767.42004401,300.0,230700.00000000186,1443.5552840562007,4726200.000000001,0.0,0,0.0,0.0
Start,3273,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
A,3273,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,299.9999999999709,300.0000000001164,300.00000000000006,981900.0000000001,299.9999999999709,300.0000000001164,300.00000000000006,981900.0000000001,0.0,230400.00000000003,950.3208065994501,3110400.0,300.0,230700.00000000012,1250.32080659945,4092300.0,300.0,230700.00000000012,1250.32080659945,4092300.0,0.0,0,0.0,0.0
B,3273,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,299.9999999999998,300.0000000009313,300.0000000000003,981900.0000000009,299.9999999999998,300.0000000009313,300.0000000000003,981900.0000000009,0.0,230400.0,1003.1164069660862,3283200.0,299.9999999999998,230700.00000000093,1303.1164069660865,4265100.000000001,299.9999999999998,230700.00000000093,1303.1164069660865,4265100.000000001,0.0,0,0.0,0.0
F,1107,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,332100.0,300.0,300.0,300.0,332100.0,0.0,230400.0,936.5853658536586,1036800.0,300.0,230700.0,1236.5853658536585,1368900.0,300.0,230700.0,1236.5853658536585,1368900.0,0.0,0,0.0,0.0
G,1107,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,299.9999999999991,300.0,300.0,332100.0,299.9999999999991,300.0,300.0,332100.0,0.0,230400.0,572.3577235772358,633600.0,299.9999999999991,230700.0,872.3577235772358,965700.0,299.9999999999991,230700.0,872.3577235772358,965700.0,0.0,0,0.0,0.0
H,1107,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,332100.0,300.0,300.0,300.0,332100.0,0.0,57600.0,468.2926829268293,518400.0,300.0,57900.0,768.2926829268292,850500.0,300.0,57900.0,768.2926829268292,850500.0,0.0,0,0.0,0.0
I,6496,1.7976931348623157e+308,0,0,0,0.0,57884.7350209998,25.15094494936058,163380.5383910463,299.99999999813735,300.0,299.9999999999997,1948799.9999999981,300.0,58184.7350209998,325.1509449493603,2112180.5383910444,0.0,230400.0,1108.3743842364531,7200000.0,300.0,230735.0387420021,1433.5253291858135,9312180.538391044,300.0,230700.0,1408.374384236453,9148799.999999998,0.0,0,0.0,0.0
L,3252,1.7976931348623157e+308,0,0,0,0.0,356.6555320000043,7.477593685422096,24317.134664992656,300.0,300.0,300.0,975600.0,300.0,656.6555320000043,307.4775936854221,999917.1346649927,0.0,230400.0,1222.140221402214,3974400.0,300.0,230780.6951020006,1529.6178150876362,4974317.134664993,300.0,230700.0,1522.140221402214,4950000.0,0.0,0,0.0,0.0
