case_id,activity,enable_time,start_time,end_time,resource
0,Traer informacion estudiante - banner,2016-04-16 11:32:48.344076+00:00,2016-04-16 16:00:00.000000+00:00,2016-04-16 16:00:00.000000+00:00,11204
0,Radicar Solicitud Homologacion,2016-04-16 16:00:03.000000+00:00,2016-04-16 16:00:03.000000+00:00,2016-04-16 16:00:03.000000+00:00,19019
0,Cancelar Solicitud,2016-04-16 17:17:19.720223+00:00,2016-04-16 17:17:19.720223+00:00,2016-04-17 20:02:33.627368+00:00,19019
1,Traer informacion estudiante - banner,2016-04-16 18:44:24.050228+00:00,2016-04-16 18:44:24.050229+00:00,2016-04-16 18:44:24.050229+00:00,11204
1,Radicar Solicitud Homologacion,2016-04-16 18:44:27.050229+00:00,2016-04-16 18:44:27.050229+00:00,2016-04-16 18:44:27.050229+00:00,11204
1,Cancelar Solicitud,2016-04-16 18:53:49.636259+00:00,2016-04-16 21:00:00.000000+00:00,2016-04-16 21:04:56.907113+00:00,22475
2,Traer informacion estudiante - banner,2016-04-16 21:09:31.623731+00:00,2016-04-16 21:09:31.623731+00:00,2016-04-16 21:09:31.623731+00:00,11204
2,Radicar Solicitud Homologacion,2016-04-16 21:09:34.623731+00:00,2016-04-16 21:09:34.623731+00:00,2016-04-16 21:09:34.623731+00:00,11204
2,Cancelar Solicitud,2016-04-16 21:09:34.626200+00:00,2016-04-16 21:09:34.626200+00:00,2016-04-16 21:09:34.650781+00:00,22475
3,Traer informacion estudiante - banner,2016-04-17 10:59:59.999999+00:00,2016-04-17 10:59:59.999999+00:00,2016-04-17 10:59:59.999999+00:00,11204
3,Radicar Solicitud Homologacion,2016-04-17 11:00:02.999999+00:00,2016-04-17 11:00:02.999999+00:00,2016-04-17 11:00:02.999999+00:00,11204
4,Traer informacion estudiante - banner,2016-04-18 11:00:23.847593+00:00,2016-04-18 11:00:23.847593+00:00,2016-04-18 11:00:23.847593+00:00,11204
4,Radicar Solicitud Homologacion,2016-04-18 11:00:26.847593+00:00,2016-04-18 11:00:26.847593+00:00,2016-04-18 11:00:26.847593+00:00,10183
5,Traer informacion estudiante - banner,2016-04-18 12:32:53.776918+00:00,2016-04-18 12:32:53.776918+00:00,2016-04-18 12:32:53.776918+00:00,10296
5,Radicar Solicitud Homologacion,2016-04-18 12:32:56.776918+00:00,2016-04-18 12:32:56.776918+00:00,2016-04-18 12:32:56.776918+00:00,10348
6,Traer informacion estudiante - banner,2016-04-18 12:55:29.707357+00:00,2016-04-18 12:55:29.707357+00:00,2016-04-18 12:55:29.707357+00:00,10962
6,Radicar Solicitud Homologacion,2016-04-18 12:55:32.707357+00:00,2016-04-18 12:55:32.707357+00:00,2016-04-18 12:55:32.707357+00:00,10995
6,Cancelar Solicitud,2016-04-18 12:55:32.707357+00:00,2016-04-18 12:55:32.707357+00:00,2016-04-18 15:01:35.675173+00:00,22475
5,Validar solicitud,2016-04-18 13:25:06.879969+00:00,2016-04-18 13:25:06.879969+00:00,2016-04-18 13:27:09.826125+00:00,677
7,Traer informacion estudiante - banner,2016-04-18 13:43:14.586421+00:00,2016-04-18 13:43:14.586421+00:00,2016-04-18 13:43:14.586421+00:00,11041
7,Radicar Solicitud Homologacion,2016-04-18 13:43:17.586421+00:00,2016-04-18 13:43:17.586421+00:00,2016-04-18 16:00:08.000000+00:00,11174
8,Traer informacion estudiante - banner,2016-04-18 13:47:10.726058+00:00,2016-04-18 13:47:10.726058+00:00,2016-04-18 13:47:10.726058+00:00,11181
8,Radicar Solicitud Homologacion,2016-04-18 13:47:13.726058+00:00,2016-04-18 13:47:13.726058+00:00,2016-04-18 13:47:13.726058+00:00,11197
9,Traer informacion estudiante - banner,2016-04-18 14:50:04.592243+00:00,2016-04-18 14:50:04.592243+00:00,2016-04-18 14:50:04.592243+00:00,11218
9,Radicar Solicitud Homologacion,2016-04-18 14:50:07.592243+00:00,2016-04-18 14:50:07.592243+00:00,2016-04-18 16:17:58.000000+00:00,11327
10,Traer informacion estudiante - banner,2016-04-18 15:24:07.610938+00:00,2016-04-18 15:24:07.610938+00:00,2016-04-18 15:24:07.610938+00:00,1134
10,Radicar Solicitud Homologacion,2016-04-18 15:24:10.610938+00:00,2016-04-18 15:24:10.610938+00:00,2016-04-18 15:24:10.610938+00:00,11349
10,Homologacion por grupo de cursos,2016-04-18 15:47:04.692820+00:00,2016-04-18 15:47:04.692820+00:00,2016-04-18 16:00:22.000000+00:00,12548
10,Evaluacion curso,2016-04-18 16:00:22.000477+00:00,2016-04-18 16:00:22.000477+00:00,2016-04-18 16:00:35.000477+00:00,10726
9,Validar solicitud,2016-04-18 16:19:19.172848+00:00,2016-04-18 16:19:19.172848+00:00,2016-04-18 16:19:19.172848+00:00,10923
9,Homologacion por grupo de cursos,2016-04-18 16:42:55.104845+00:00,2016-04-18 16:42:55.104845+00:00,2016-04-18 18:07:07.544495+00:00,1343
11,Traer informacion estudiante - banner,2016-04-18 22:48:07.092947+00:00,2016-04-18 22:48:07.092947+00:00,2016-04-18 22:48:07.092947+00:00,11353
11,Radicar Solicitud Homologacion,2016-04-18 22:48:10.092947+00:00,2016-04-18 22:48:10.092947+00:00,2016-04-18 22:48:10.092947+00:00,11509
11,Cancelar Solicitud,2016-04-18 22:48:11.141813+00:00,2016-04-18 22:48:11.141813+00:00,2016-04-18 22:48:11.141813+00:00,12196
9,Cancelar curso,2016-04-18 23:17:35.292058+00:00,2016-04-18 23:17:35.292058+00:00,2016-04-18 23:17:35.292058+00:00,22404
12,Traer informacion estudiante - banner,2016-04-19 01:04:07.016711+00:00,2016-04-19 01:04:07.016711+00:00,2016-04-19 01:04:07.016711+00:00,11583
12,Radicar Solicitud Homologacion,2016-04-19 01:04:10.016711+00:00,2016-04-19 01:04:10.016711+00:00,2016-04-19 01:04:10.016711+00:00,11614
12,Validar solicitud,2016-04-19 01:04:10.016711+00:00,2016-04-19 01:04:10.016711+00:00,2016-04-19 11:05:36.224292+00:00,1707
13,Traer informacion estudiante - banner,2016-04-19 01:50:12.706611+00:00,2016-04-19 01:50:12.706611+00:00,2016-04-19 01:50:12.706611+00:00,11692
