case_id,activity,enable_time,start_time,end_time,resource
8,W_Completeren aanvraag,2012-01-07 09:32:45.422492+00:00,2012-01-07 09:32:45.422492+00:00,2012-01-07 09:34:59.086752+00:00,10138
6,W_Completeren aanvraag,2012-01-07 09:33:15.973658+00:00,2012-01-07 09:33:15.973658+00:00,2012-01-07 09:37:37.795922+00:00,10228
7,W_Afhandelen leads,2012-01-07 09:35:29.473482+00:00,2012-01-07 09:35:29.473482+00:00,2012-01-07 09:36:46.556461+00:00,10609
5,W_Beoordelen fraude,2012-01-07 09:43:16.013774+00:00,2012-01-07 09:43:16.013775+00:00,2012-01-07 09:43:44.851106+00:00,10809
5,W_Afhandelen leads,2012-01-07 09:44:16.970329+00:00,2012-01-07 09:44:16.970329+00:00,2012-01-07 09:47:10.576080+00:00,10629
3,W_Afhandelen leads,2012-01-07 09:50:46.092379+00:00,2012-01-07 09:50:46.092379+00:00,2012-01-07 09:52:20.545379+00:00,10779
4,W_Beoordelen fraude,2012-01-07 09:51:27.493403+00:00,2012-01-07 09:51:27.493404+00:00,2012-01-07 09:53:45.299043+00:00,10809
9,W_Beoordelen fraude,2012-01-07 10:01:02.643952+00:00,2012-01-07 10:01:02.643952+00:00,2012-01-07 10:03:34.599797+00:00,10809
2,W_Beoordelen fraude,2012-01-07 10:01:40.045132+00:00,2012-01-07 10:03:34.599797+00:00,2012-01-07 10:03:44.654992+00:00,10809
9,W_Beoordelen fraude,2012-01-07 10:07:36.404277+00:00,2012-01-07 10:07:36.404277+00:00,2012-01-07 10:08:44.222923+00:00,10809
3,W_Afhandelen leads,2012-01-07 10:07:38.816005+00:00,2012-01-07 10:07:38.816005+00:00,2012-01-07 10:12:21.624598+00:00,10861
4,W_Beoordelen fraude,2012-01-07 10:16:33.200995+00:00,2012-01-07 10:16:33.200995+00:00,2012-01-07 10:16:41.311524+00:00,10809
4,W_Beoordelen fraude,2012-01-07 10:28:18.163409+00:00,2012-01-07 10:28:18.163408+00:00,2012-01-07 10:29:45.134882+00:00,10809
12,W_Completeren aanvraag,2012-01-07 10:52:59.537747+00:00,2012-01-07 10:52:59.537747+00:00,2012-01-07 11:00:19.633232+00:00,10863
14,W_Afhandelen leads,2012-01-07 10:57:42.719348+00:00,2012-01-07 10:57:42.719348+00:00,2012-01-07 10:59:01.320087+00:00,10881
1,W_Afhandelen leads,2012-01-07 10:57:44.208202+00:00,2012-01-07 10:57:44.208202+00:00,2012-01-07 10:59:26.315166+00:00,10889
4,W_Afhandelen leads,2012-01-07 11:21:29.449312+00:00,2012-01-07 11:21:29.449312+00:00,2012-01-07 11:24:30.949312+00:00,10899
1,W_Completeren aanvraag,2012-01-07 11:30:40.523584+00:00,2012-01-07 11:30:40.523585+00:00,2012-01-07 11:35:11.650346+00:00,10909
16,W_Afhandelen leads,2012-01-07 11:31:17.577010+00:00,2012-01-07 11:31:17.577011+00:00,2012-01-07 11:31:24.201747+00:00,10910
16,W_Completeren aanvraag,2012-01-07 11:31:42.385745+00:00,2012-01-07 11:31:42.385745+00:00,2012-01-07 11:34:04.524350+00:00,10912
15,W_Afhandelen leads,2012-01-07 11:32:36.226936+00:00,2012-01-07 11:32:36.226935+00:00,2012-01-07 11:35:14.145253+00:00,10913
16,W_Beoordelen fraude,2012-01-07 11:44:50.366993+00:00,2012-01-07 11:44:50.366993+00:00,2012-01-07 11:45:09.847484+00:00,10809
4,W_Afhandelen leads,2012-01-07 11:49:46.528186+00:00,2012-01-07 11:49:46.528186+00:00,2012-01-07 11:52:03.809186+00:00,10914
14,W_Beoordelen fraude,2012-01-07 11:53:42.514077+00:00,2012-01-07 11:53:42.514077+00:00,2012-01-07 11:53:53.879166+00:00,10809
6,W_Nabellen offertes,2012-01-07 11:57:18.914224+00:00,2012-01-07 11:57:18.914224+00:00,2012-01-07 11:59:01.132376+00:00,10789
