activity,case_id,resource,end_time,start_time
Traer informacion estudiante - banner,110602,13544,2016-04-15T23:47:55.000,2016-04-15T23:47:55.000
Radicar Solicitud Homologacion,110602,13544,2016-04-15T23:47:58.000,2016-04-15T23:47:58.000
Validar solicitud,110602,22404,2016-04-16T00:32:27.000,2016-04-16T00:32:27.000
Homologacion por grupo de cursos,110602,22404,2016-04-18T00:43:22.000,2016-04-18T00:43:22.000
Revisar curso,110602,22404,2016-04-18T00:43:23.000,2016-04-18T00:43:23.000
Cancelar curso,110602,22404,2016-04-18T00:43:24.000,2016-04-18T00:43:24.000
Traer informacion estudiante - banner,110603,13544,2016-04-16T00:33:49.000,2016-04-16T00:33:49.000
Radicar Solicitud Homologacion,110603,13544,2016-04-16T00:33:50.000,2016-04-16T00:33:50.000
Cancelar Solicitud,110603,13544,2016-04-16T01:12:50.000,2016-04-16T00:40:50.000
Validar solicitud,110603,22404,2016-04-16T00:40:50.000,2016-04-16T00:40:50.000
Revisar curso,110603,22404,2016-04-18T00:48:29.000,2016-04-18T00:48:29.000
Notificacion estudiante cancelacion soli,110603,13544,2016-04-21T23:18:52.000,2016-04-21T23:18:52.000
Traer informacion estudiante - banner,110606,13544,2016-04-16T01:01:13.000,2016-04-16T01:01:13.000
Radicar Solicitud Homologacion,110606,13544,2016-04-16T01:01:15.000,2016-04-16T01:01:15.000
Validar solicitud,110606,22404,2016-04-16T01:08:24.000,2016-04-16T01:08:24.000
Homologacion por grupo de cursos,110606,22404,2016-04-18T01:05:29.000,2016-04-18T01:05:29.000
Revisar curso,110606,22404,2016-04-18T01:05:29.000,2016-04-18T01:05:29.000
Cancelar curso,110606,22404,2016-04-18T01:05:29.000,2016-04-18T01:05:29.000
Traer informacion estudiante - banner,110607,13544,2016-04-16T01:08:48.000,2016-04-16T01:08:48.000
Radicar Solicitud Homologacion,110607,13544,2016-04-16T01:08:49.000,2016-04-16T01:08:49.000
Validar solicitud,110607,22404,2016-04-16T01:11:34.000,2016-04-16T01:11:34.000
Homologacion por grupo de cursos,110607,22404,2016-04-18T01:07:16.000,2016-04-18T01:07:16.000
Revisar curso,110607,22404,2016-04-18T01:07:16.000,2016-04-18T01:07:16.000
Cancelar curso,110607,22404,2016-04-18T01:07:16.000,2016-04-18T01:07:16.000
Traer informacion estudiante - banner,110608,13544,2016-04-16T01:11:50.000,2016-04-16T01:11:50.000
Radicar Solicitud Homologacion,110608,13544,2016-04-16T01:11:51.000,2016-04-16T01:11:51.000
Validar solicitud,110608,22404,2016-04-16T01:17:47.000,2016-04-16T01:17:47.000
Homologacion por grupo de cursos,110608,22404,2016-04-18T01:11:40.000,2016-04-18T01:11:40.000
Revisar curso,110608,22404,2016-04-18T01:11:40.000,2016-04-18T01:11:40.000
Cancelar curso,110608,22404,2016-04-18T01:11:40.000,2016-04-18T01:11:40.000
Traer informacion estudiante - banner,110609,13544,2016-04-16T01:17:58.000,2016-04-16T01:17:58.000
Radicar Solicitud Homologacion,110609,13544,2016-04-16T01:17:59.000,2016-04-16T01:17:59.000
Validar solicitud,110609,22404,2016-04-16T01:20:50.000,2016-04-16T01:20:50.000
Homologacion por grupo de cursos,110609,22404,2016-04-18T01:13:53.000,2016-04-18T01:13:53.000
Revisar curso,110609,22404,2016-04-18T01:13:53.000,2016-04-18T01:13:53.000
Cancelar curso,110609,22404,2016-04-18T01:13:53.000,2016-04-18T01:13:53.000
Traer informacion estudiante - banner,110611,13544,2016-04-16T01:25:08.000,2016-04-16T01:25:08.000
Radicar Solicitud Homologacion,110611,13544,2016-04-16T01:25:09.000,2016-04-16T01:25:09.000
Validar solicitud,110611,22404,2016-04-16T01:28:14.000,2016-04-16T01:28:14.000
Homologacion por grupo de cursos,110611,22404,2016-04-18T01:18:22.000,2016-04-18T01:18:22.000
Revisar curso,110611,22404,2016-04-18T01:18:22.000,2016-04-18T01:18:22.000
Cancelar curso,110611,22404,2016-04-18T01:18:22.000,2016-04-18T01:18:22.000
Traer informacion estudiante - banner,110701,11829,2016-04-16T16:00:44.000,2016-04-16T16:00:44.000
Radicar Solicitud Homologacion,110701,11829,2016-04-16T16:00:51.000,2016-04-16T16:00:51.000
Validar solicitud,110701,22475,2016-04-16T16:23:12.000,2016-04-16T16:23:12.000
Homologacion por grupo de cursos,110701,1343,2016-04-18T15:48:24.000,2016-04-18T12:41:14.000
Revisar curso,110701,26757,2016-04-18T12:44:39.000,2016-04-18T12:41:15.000
Evaluacion curso,110701,26757,2016-04-18T16:25:01.000,2016-04-18T16:24:26.000
Validacion final,110701,22475,2016-04-18T18:00:36.000,2016-04-18T17:59:35.000
Visto Bueno Cierre Proceso,110701,1343,2016-04-18T23:03:22.000,2016-04-18T20:01:14.000
Traer informacion estudiante - banner,110851,6723,2016-04-16T20:16:59.000,2016-04-16T20:16:59.000
Radicar Solicitud Homologacion,110851,6723,2016-04-16T20:17:03.000,2016-04-16T20:17:03.000
Validar solicitud,110851,677,2016-04-16T20:29:17.000,2016-04-16T20:28:21.000
Homologacion por grupo de cursos,110851,3445,2016-04-18T14:04:26.000,2016-04-18T13:56:18.000
Validacion final,110851,677,2016-04-18T13:56:18.000,2016-04-18T13:56:18.000
Visto Bueno Cierre Proceso,110851,3445,2016-04-18T14:04:48.000,2016-04-18T13:56:41.000
Traer informacion estudiante - banner,110853,6723,2016-04-16T21:11:14.000,2016-04-16T21:11:14.000
Radicar Solicitud Homologacion,110853,6723,2016-04-16T21:11:16.000,2016-04-16T21:11:16.000
Validar solicitud,110853,677,2016-04-16T21:32:29.000,2016-04-16T21:31:40.000
Cancelar Solicitud,110853,6723,2016-04-16T23:26:13.000,2016-04-16T21:31:41.000
Revisar curso,110853,677,2016-04-18T13:49:29.000,2016-04-18T13:49:29.000
Notificacion estudiante cancelacion soli,110853,6723,2016-05-06T15:32:31.000,2016-05-06T15:32:31.000
