activity,case_id,resource,end_time,start_time,enabled_time
Traer informacion estudiante - banner,0,13544,2016-04-15T23:47:55.000,2016-04-15T23:47:55.000,2016-04-15T23:47:55.000+00:00
Radicar Solicitud Homologacion,0,13544,2016-04-15T23:47:58.000,2016-04-15T23:47:58.000,2016-04-15T23:47:55.000+00:00
Validar solicitud,0,22404,2016-04-16T00:32:27.000,2016-04-16T00:32:27.000,2016-04-15T23:47:58.000+00:00
Homologacion por grupo de cursos,0,22404,2016-04-18T00:43:22.000,2016-04-18T00:43:22.000,2016-04-16T00:32:27.000+00:00
Revisar curso,0,22404,2016-04-18T00:43:23.000,2016-04-18T00:43:23.000,2016-04-16T00:32:27.000+00:00
Cancelar curso,0,22404,2016-04-18T00:43:24.000,2016-04-18T00:43:24.000,2016-04-16T00:32:27.000+00:00
Traer informacion estudiante - banner,1,13544,2016-04-16T00:33:49.000,2016-04-16T00:33:49.000,2016-04-16T00:33:49.000+00:00
Radicar Solicitud Homologacion,1,13544,2016-04-16T00:33:50.000,2016-04-16T00:33:50.000,2016-04-16T00:33:49.000+00:00
Cancelar Solicitud,1,13544,2016-04-16T01:12:50.000,2016-04-16T00:40:50.000,2016-04-16T00:33:50.000+00:00
Validar solicitud,1,22404,2016-04-16T00:40:50.000,2016-04-16T00:40:50.000,2016-04-16T00:33:50.000+00:00
Revisar curso,1,22404,2016-04-18T00:48:29.000,2016-04-18T00:48:29.000,2016-04-16T01:12:50.000+00:00
Notificacion estudiante cancelacion soli,1,13544,2016-04-21T23:18:52.000,2016-04-21T23:18:52.000,2016-04-18T00:48:29.000+00:00
Traer informacion estudiante - banner,2,13544,2016-04-16T01:01:13.000,2016-04-16T01:01:13.000,2016-04-16T01:01:13.000+00:00
Radicar Solicitud Homologacion,2,13544,2016-04-16T01:01:15.000,2016-04-16T01:01:15.000,2016-04-16T01:01:13.000+00:00
Validar solicitud,2,22404,2016-04-16T01:08:24.000,2016-04-16T01:08:24.000,2016-04-16T01:01:15.000+00:00
Homologacion por grupo de cursos,2,22404,2016-04-18T01:05:29.000,2016-04-18T01:05:29.000,2016-04-16T01:08:24.000+00:00
Revisar curso,2,22404,2016-04-18T01:05:29.000,2016-04-18T01:05:29.000,2016-04-16T01:08:24.000+00:00
Cancelar curso,2,22404,2016-04-18T01:05:29.000,2016-04-18T01:05:29.000,2016-04-16T01:08:24.000+00:00
Traer informacion estudiante - banner,3,13544,2016-04-16T01:08:48.000,2016-04-16T01:08:48.000,2016-04-16T01:08:48.000+00:00
Radicar Solicitud Homologacion,3,13544,2016-04-16T01:08:49.000,2016-04-16T01:08:49.000,2016-04-16T01:08:48.000+00:00
