case_id,start_time,end_time,activity,resource,enabled_time
0,2012-01-07T09:07:39.782,2012-01-07T09:09:21.255,W_Completeren aanvraag,10913.0,2012-01-07T09:07:39.782+00:00
0,2012-01-07T10:28:18.145,2012-01-07T10:38:57.706,W_Completeren aanvraag,10913.0,2012-01-07T09:09:21.255+00:00
0,2012-01-13T08:48:31.316,2012-01-13T08:48:56.664,W_Nabellen offertes,11259.0,2012-01-07T10:38:57.706+00:00
0,2012-01-18T13:53:59.156,2012-01-18T14:29:36.878,W_Valideren aanvraag,10809.0,2012-01-13T08:48:56.664+00:00
1,2012-01-07T09:32:47.823,2012-01-07T09:43:17.502,W_Completeren aanvraag,10929.0,2012-01-07T09:32:47.823+00:00
2,2012-01-07T09:43:27.614,2012-01-07T09:46:01.873,W_Completeren aanvraag,10929.0,2012-01-07T09:43:27.614+00:00
2,2012-01-07T14:15:14.196,2012-01-07T14:16:23.608,W_Completeren aanvraag,10913.0,2012-01-07T09:46:01.873+00:00
2,2012-01-09T09:07:24.785,2012-01-09T09:20:30.095,W_Completeren aanvraag,11179.0,2012-01-07T14:16:23.608+00:00
2,2012-01-09T09:20:41.182,2012-01-09T09:21:15.594,W_Nabellen offertes,11179.0,2012-01-09T09:20:30.095+00:00
2,2012-01-17T11:20:02.677,2012-01-17T11:20:35.721,W_Nabellen offertes,NOT_SET,2012-01-09T09:21:15.594+00:00
2,2012-01-19T09:17:31.494,2012-01-19T09:17:53.071,W_Nabellen offertes,11049.0,2012-01-17T11:20:35.721+00:00
2,2012-01-23T11:03:43.86,2012-01-23T12:27:53.663,W_Valideren aanvraag,10609.0,2012-01-19T09:17:53.071+00:00
2,2012-01-23T12:29:12.924,2012-01-23T12:34:58.209,W_Nabellen incomplete dossiers,10609.0,2012-01-23T12:27:53.663+00:00
3,2012-01-07T09:35:28.891,2012-01-07T09:37:20.155,W_Completeren aanvraag,10913.0,2012-01-07T09:35:28.891+00:00
3,2012-01-07T14:15:09.71,2012-01-07T14:15:41.11,W_Completeren aanvraag,10982.0,2012-01-07T09:37:20.155+00:00
3,2012-01-07T14:32:43.439,2012-01-07T15:05:08.599,W_Completeren aanvraag,10929.0,2012-01-07T14:15:41.110+00:00
4,2012-01-07T09:37:26.708,2012-01-07T09:50:03.434,W_Completeren aanvraag,10913.0,2012-01-07T09:37:26.708+00:00
4,2012-01-17T10:47:06.962,2012-01-17T10:47:16.613,W_Nabellen offertes,10899.0,2012-01-07T09:50:03.434+00:00
4,2012-01-20T12:50:00.561,2012-01-20T13:11:12.513,W_Valideren aanvraag,10138.0,2012-01-17T10:47:16.613+00:00
4,2012-01-20T18:00:42.536,2012-01-20T18:02:40.384,W_Nabellen incomplete dossiers,10909.0,2012-01-20T13:11:12.513+00:00
4,2012-01-21T09:29:46.567,2012-01-21T09:30:25.646,W_Nabellen incomplete dossiers,11002.0,2012-01-20T18:02:40.384+00:00
4,2012-01-21T09:58:32.885,2012-01-21T10:13:38.986,W_Nabellen incomplete dossiers,10912.0,2012-01-21T09:30:25.646+00:00
4,2012-01-23T07:59:52.809,2012-01-23T08:23:44.418,W_Valideren aanvraag,10138.0,2012-01-21T10:13:38.986+00:00
4,2012-01-23T10:08:57.791,2012-01-23T10:41:32.747,W_Nabellen incomplete dossiers,10909.0,2012-01-23T08:23:44.418+00:00
4,2012-01-23T10:41:41.278,2012-01-23T10:46:07.651,W_Nabellen incomplete dossiers,10909.0,2012-01-23T10:41:32.747+00:00
