case_id,activity,enable_time,start_time,end_time,resource
0,Traer informacion estudiante - banner,2016-04-15 23:47:58.000000+00:00,2016-04-16 16:00:00.000000+00:00,2016-04-16 16:00:00.000000+00:00,11204
1,Traer informacion estudiante - banner,2016-04-16 00:50:53.760249+00:00,2016-04-16 16:00:00.000000+00:00,2016-04-16 16:00:00.000000+00:00,11204
2,Traer informacion estudiante - banner,2016-04-16 01:11:40.072312+00:00,2016-04-16 16:00:00.000000+00:00,2016-04-16 16:00:00.000000+00:00,11204
3,Traer informacion estudiante - banner,2016-04-16 10:00:03.000000+00:00,2016-04-16 16:00:00.000000+00:00,2016-04-16 16:00:00.000000+00:00,11204
4,Traer informacion estudiante - banner,2016-04-16 14:00:03.000000+00:00,2016-04-16 16:00:00.000000+00:00,2016-04-16 16:00:00.000000+00:00,11204
5,Traer informacion estudiante - banner,2016-04-16 15:40:57.792353+00:00,2016-04-16 16:00:00.000000+00:00,2016-04-16 16:00:00.000000+00:00,11204
2,Radicar Solicitud Homologacion,2016-04-16 16:00:30.322016+00:00,2016-04-17 20:00:00.000000+00:00,2016-04-17 20:00:00.000000+00:00,19019
1,Radicar Solicitud Homologacion,2016-04-16 16:01:12.500521+00:00,2016-04-16 16:01:12.500521+00:00,2016-04-16 16:01:12.500521+00:00,11204
3,Radicar Solicitud Homologacion,2016-04-16 16:37:34.522426+00:00,2016-04-16 16:37:34.522426+00:00,2016-04-16 16:37:34.522426+00:00,11204
6,Traer informacion estudiante - banner,2016-04-16 18:00:02.999999+00:00,2016-04-18 00:00:00.000000+00:00,2016-04-18 00:00:00.000000+00:00,11204
7,Traer informacion estudiante - banner,2016-04-16 18:12:56.920951+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:00.000000+00:00,10183
8,Traer informacion estudiante - banner,2016-04-16 18:57:56.211206+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:00.000000+00:00,10296
9,Traer informacion estudiante - banner,2016-04-16 20:00:03.000000+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:00.000000+00:00,10348
10,Traer informacion estudiante - banner,2016-04-16 20:07:30.048178+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:00.000000+00:00,10962
11,Traer informacion estudiante - banner,2016-04-16 20:36:21.920133+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:00.000000+00:00,10995
12,Traer informacion estudiante - banner,2016-04-16 22:17:34.509617+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:00.000000+00:00,11041
0,Radicar Solicitud Homologacion,2016-04-17 02:04:26.572573+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:08.000000+00:00,11174
4,Radicar Solicitud Homologacion,2016-04-17 10:04:48.365797+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:34:09.000000+00:00,11181
3,Validar solicitud,2016-04-17 10:31:45.727649+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:00.000000+00:00,22475
13,Traer informacion estudiante - banner,2016-04-17 11:00:02.999999+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:00.000000+00:00,11197
14,Traer informacion estudiante - banner,2016-04-17 18:03:22.002131+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:00.000000+00:00,11218
15,Traer informacion estudiante - banner,2016-04-17 18:07:52.409901+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:00.000000+00:00,11327
16,Traer informacion estudiante - banner,2016-04-17 18:53:30.413869+00:00,2016-04-17 19:00:00.000000+00:00,2016-04-17 19:00:00.000000+00:00,1134
15,Radicar Solicitud Homologacion,2016-04-17 20:22:37.945541+00:00,2016-04-18 16:00:00.000000+00:00,2016-04-18 16:00:00.000000+00:00,11349
